Jahr;Bund Ertrag;Bund_Ausgaben;Bund_Aufwand;Bund_Nettozugang_Sachvermögen;Bund_Finanzierungssaldo;Bund_Fiskalertrag;Bund_Bruttoschulden;Bund_Bruttoschuldenquote_in;Bund_Fremdkapital;Bund_Fremdkapitalquote_in;Kantone_Ertrag;Kantone_Ausgaben;Kantone_Aufwand;Kantone_Nettozugang Sachvermögen;Kantone_Finanzierungssaldo;Kantone_Fiskalertrag;Kantone_Bruttoschulden;Kantone_Bruttoschuldenquote_in;Kantone_Fremdkapital;Kantone_Fremdkapitalquote_in;Gemeinden_Ertrag;Gemeinden_Ausgaben;Gemeinden_Aufwand;Gemeinden_Nettozugang_Sachvermögen;Gemeinden_Finanzierungssaldo;Gemeinden_Fiskalertrag;Gemeinden_Bruttoschulden;Gemeinden_Bruttoschuldenquote_in;Gemeinden_Fremdkapital;Gemeinden_Fremdkapitalquote_in;Sozialversicherungen_Ertrag;Sozialversicherungen_Ausgaben;Sozialversicherungen_Aufwand;Sozialversicherungen_Nettozugang_Sachvermögen;Sozialversicherungen_Finanzierungssaldo;Sozialversicherungen_Fiskalertrag;Sozialversicherungen_Bruttoschulden;Sozialversicherungen_Bruttoschuldenquote_in;Sozialversicherungen_Fremdkapital;Sozialversicherungen_Fremdkapitalquote_in;Staat_ohne_Doppelzählungen_Ertrag;Staat_ohne_Doppelzählungen_Ausgaben;Staat_ohne_Doppelzählungen_Aufwand;Staat_ohne_Doppelzählungen_Nettozugang_Sachvermögen;Staat_ohne_Doppelzählungen_Finanzierungssaldo;Staat_ohne_Doppelzählungen_Fiskalertrag;Staat_ohne_Doppelzählungen_Bruttoschulden;Staat_ohne_Doppelzählungen_Bruttoschuldenquote_in;Staat_ohne_Doppelzählungen_Fremdkapital;Staat_ohne_Doppelzählungen_Fremdkapitalquote_in
2000;52529.47245;55730.42581;55971.1877;-240.7618928;-3200.953357;47349.65539;104488.3259;22.15895097;120842.3683;25.62717021;57427.86236;57314.25248;56103.70364;1210.548844;113.6098734;29183.23198;57654.66023;12.22688543;68472.49136;14.52103444;35066.85235;33957.15675;33343.38396;613.7727915;1109.695595;20599.52751;43694.65807;9.266372846;56322.30597;11.94433163;44586.20754;41278.97338;41286.76113;-7.78774547;3307.234155;30841.64179;5700;1.208805093;6410.780256;1.359541022;153334.392;152004.8057;150429.0337;1575.771997;1329.586266;127974.0567;205837.6442;43.65220925;246347.9458;52.24327221
2001;48889.56593;51909.53187;52111.54943;-202.0175636;-3019.965935;43434.87326;104953.6384;21.70091539;118753.662;24.55430045;59704.81505;60365.967;58889.64827;1476.318732;-661.1519578;30527.78651;56862.71324;11.75731444;70147.13525;14.50409028;36019.21779;34954.39526;34330.45189;623.9433749;1064.822528;21445.81293;43613.53635;9.017826122;57602.29618;11.91023555;46670.32507;43050.12291;43056.52354;-6.40063369;3620.202164;32543.8479;2320.01;0.479700766;3018.070784;0.624036477;153881.0022;152877.0954;150985.2515;1891.84391;1003.906799;127952.3206;205429.898;42.47605802;247201.1642;51.11296406
2002;48529.74052;59216.21766;59304.93066;-88.71299959;-10686.47713;43214.49702;120297.4201;24.95397435;143045.8258;29.67280484;61513.81005;62446.2585;60875.24424;1571.014263;-932.4484497;32316.32423;58523.91165;12.13994605;77377.4326;16.05083856;36145.77708;35192.87711;34498.01453;694.8625819;952.8999699;21628.99617;42956.3359;8.910675753;57665.18106;11.96181471;47457.58393;45213.29721;45216.69743;-3.40022289;2244.286724;33241.8659;10.007192;0.002075848;329.832801;0.068419084;156029.8324;164451.5713;162277.8077;2173.763622;-8421.738888;130401.6833;221777.6748;46.00459765;278408.2723;57.75180283
2003;49356.60505;52118.08771;52294.64999;-176.5622883;-2761.482651;43802.17039;121633.872;24.94508733;139973.7587;28.70629355;61954.32396;64437.74413;62900.39156;1537.352566;-2483.420174;31220.76332;63356.71608;12.99341039;80151.77447;16.43779797;35881.08817;36200.99054;35312.21868;888.7718546;-319.9023626;21069.31149;41289.28439;8.467746593;56830.9897;11.65509227;47260.45992;48322.74019;48323.58487;-0.84467419;-1062.280275;32432.29877;0.001598;3.27723E-07;412.700087;0.084637935;155432.7456;162059.8311;159811.1137;2248.717458;-6627.085463;128524.544;226279.874;46.40624464;277369.2229;56.88382173
2004;51128.20877;53322.42071;53314.85768;7.56303162;-2194.211934;45336.73822;124468.3336;24.78137338;146753.8072;29.21836252;63489.68577;66040.41049;64660.34236;1380.068124;-2550.724714;32684.63445;63592.67224;12.66116216;84511.97596;16.82614985;36285.86167;36048.87427;35455.01623;593.8580386;236.987402;21248.21665;41623.63926;8.287175676;58073.72995;11.56235281;47016.26754;49496.00945;49497.7499;-1.74045305;-2479.741911;31638.19646;2000.003614;0.398196352;2659.228348;0.529446557;158836.8817;165824.5729;163844.8241;1979.748741;-6987.691157;130907.7858;229684.6487;45.72971194;289998.7415;57.7381161
2005;54130.70286;53922.01013;54000.65622;-78.64609296;208.6927337;47564.4202;128029.8937;24.58103251;152366.1777;29.25346464;66147.22323;67151.11736;66098.14779;1052.96957;-1003.894131;34320.28409;55972.80617;10.74646966;74316.27696;14.26831474;36835.80376;36766.77966;36351.4236;415.356056;69.02409862;21456.77625;42057.88276;8.074881213;58603.71934;11.25159046;48139.47548;50777.08435;50777.91026;-0.825912;-2637.608876;32209.77527;3800.000551;0.729579119;4359.246771;0.836951305;165279.4845;168643.2706;167254.417;1388.853621;-3363.786175;135551.2558;226060.5832;43.40238349;285845.4208;54.88074213
2006;58013.03849;54824.64701;55064.65034;-240.0033288;3188.391477;50938.3129;120482.6947;21.75871506;142072.4057;25.65773452;69092.13083;67382.97978;66538.76999;844.2097862;1709.151057;36043.86199;52316.36317;9.448135623;70634.57404;12.75633463;38467.68542;37454.56303;37067.43391;387.12912;1013.122386;22513.97843;39155.83605;7.071394627;55434.9442;10.01133946;49386.91863;50610.25918;50610.01965;0.23952801;-1223.340548;33265.1655;4800.059103;0.866872364;5178.487729;0.93521513;173774.5803;169087.2559;168095.6808;991.5751054;4687.324372;142761.3188;211954.953;38.27825599;268520.4117;48.49376205
2007;60480.87;64027.67078;64500.85815;-473.1873718;-3546.800786;53441.0063;114941.4863;19.51186263;138195.5285;23.45934662;73726.82664;70266.55579;69274.52939;992.0263953;3460.270858;38697.36733;50108.75574;8.506199025;69815.92083;11.8515838;39911.17192;37793.71594;37530.4967;263.2192402;2117.455982;23928.05254;38197.00742;6.484123233;54860.13313;9.312767879;58979.36;51726.95991;51725.10988;1.85003364;7252.400086;34868.62668;4800.051565;0.814831527;7126.140673;1.209696189;182822.4912;173539.165;172755.2568;783.9082973;9283.32614;150935.0529;201843.2056;34.26384178;263793.6277;44.78021985
2008;67734.16221;62015.43479;60603.0424;1412.392394;5718.72742;58953.41245;114899.8547;18.70091327;141794.5466;23.07824952;77470.99016;73406.0853;74371.38858;-965.3032779;4064.904857;39447.59719;45065.2817;7.334751872;74409.3874;12.11075074;41354.1397;41004.35605;40647.67425;356.6818028;349.7836516;24503.39854;38716.47078;6.301429745;59719.77032;9.719892579;51760.69526;50013.90538;50014.13623;-0.23084657;1746.789879;36816.17669;4148.402487;0.675187234;4864.1123;0.791674998;195883.2527;184003.0469;183199.5068;803.5400726;11880.20581;159720.5849;197241.0283;32.1026286;275198.8352;44.79091432
2009;64601.65649;62415.65934;61194.52896;1221.130381;2185.99715;56421.5765;105907.9064;17.56236222;130862.5138;21.70050326;77909.14693;75542.41795;76121.73182;-579.3138657;2366.728972;39515.16553;41398.65414;6.865003604;69849.16509;11.58285891;41989.19998;42324.43293;42039.84726;284.5856672;-335.2329515;24770.54914;38866.50693;6.445105903;59849.95033;9.924721788;53211.11683;54427.88402;54422.50791;5.37611337;-1216.76719;38107.47379;5617.389631;0.931513376;6056.249184;1.004288022;194361.6804;191360.9544;190429.1761;931.7782959;3000.72598;158814.765;184879.216;30.65791656;259706.6373;43.06630344
2010;67095.92662;63738.5032;62740.19719;998.3060117;3357.423417;58537.35286;104047.1831;16.65967437;130884.9329;20.95684186;79337.99552;77985.88574;78228.76203;-242.8762879;1352.109785;40122.11801;40901.3432;6.548981329;68029.95839;10.89272118;42294.86542;42924.6732;42583.74507;340.9281357;-629.8077853;24754.43223;38852.62051;6.220946951;60948.90175;9.758926928;53597.37657;55466.73831;55470.96883;-4.23052785;-1869.361741;38275.36673;7417.035373;1.18759;7634.344844;1.222384839;198390.0233;196179.6596;195087.5323;1092.127332;2210.363677;161689.2698;182414.0739;29.20750935;258694.0296;41.4211915
2011;67671.0241;67502.79276;66183.71523;1319.077532;168.2313344;59320.35291;104200.0433;16.39038744;134758.7987;21.19719773;81550.56882;80216.57656;80313.10053;-96.52397764;1333.99226;41227.29246;39384.87578;6.195135366;69780.36882;10.97626493;43361.25748;43505.36564;43571.24026;-65.87462239;-144.1081567;25410.95463;39318.86851;6.1847526;63184.0414;9.93868031;58285.65707;55299.06957;55303.81123;-4.74166197;2986.587498;40904.55401;6029.632728;0.948445062;6176.412452;0.971533119;204224.8989;199880.1959;198728.2587;1151.93727;4344.702935;166863.154;181288.3806;28.51617622;266254.5816;41.88113183
2012;67109.24505;66677.52872;65529.0122;1148.516518;431.7163356;59073.38423;105412.3446;16.37738941;137131.9518;21.30550634;82665.41546;83617.50224;83411.09972;206.4025205;-952.0867782;42036.72803;42954.09212;6.673562726;73138.08135;11.36309836;43453.58492;44307.27263;43954.72036;352.5522795;-853.6877169;25510.2055;39902.54182;6.199458599;63855.56689;9.920920453;59198.16764;56310.04534;56311.10714;-1.06180336;2888.122305;41804.49419;6249.603409;0.970969663;6415.248955;0.996705184;205265.8494;203751.7853;202045.3758;1706.409514;1514.064145;168424.8119;188024.5502;29.21243513;274046.8173;42.57728506
2013;69180.35025;68248.46198;67102.45485;1146.007134;931.8882681;60660.36639;104849.6996;16.0170838;132948.8231;20.30957122;84210.21717;88639.53564;89095.11017;-455.5745268;-4429.318471;42731.237;45661.86919;6.975413265;77494.4256;11.83822857;44023.02236;45400.50018;44750.29511;650.2050745;-1377.477825;26185.30677;41541.2426;6.34593677;65201.51153;9.960334442;60521.85084;58478.57313;58480.90787;-2.33474299;2043.27771;42718.13211;4417.937907;0.674894463;4852.731114;0.741314484;210275.8512;213107.4816;211769.1786;1338.302939;-2831.630318;172295.0423;190766.6667;29.14195939;274793.4088;41.9780798
2014;68607.10822;68626.72073;67677.38418;949.3365547;-19.61251454;60546.22227;102531.8964;15.40400631;136856.1532;20.5607535;85649.38605;87713.31989;88125.57806;-412.2581639;-2063.933839;43811.01086;50886.4171;7.644983831;79018.43227;11.87143194;45001.83916;46739.3979;45873.23564;866.1622597;-1737.558741;26927.2072;42708.33244;6.416339164;64615.72693;9.707623679;61818.32009;59642.01709;59644.33717;-2.32008146;2176.303006;43387.99802;3712.508419;0.557753295;4285.286193;0.643805273;212553.6727;214198.4748;212797.5543;1400.920569;-1644.802089;174672.4384;195128.5991;29.3153865;280065.0434;42.07591829
2015;72851.1674;70684.64214;69609.16051;1075.481623;2166.525267;63895.73953;98206.9515;14.701499;136536.4844;20.43939821;89106.62148;88642.70184;89060.85618;-418.1543396;463.9196346;44709.70191;51599.83086;7.724451783;80115.40904;11.99321013;46068.4136;46697.26848;45600.58389;1096.68459;-628.8548822;27672.29462;43889.56326;6.570231133;65618.53861;9.823040679;62167.31583;60524.82525;60527.94808;-3.12282405;1642.490575;44129.47899;2639.828459;0.395180126;3124.035106;0.467665458;220501.7053;216857.6247;215106.7357;1750.88905;3644.080594;180407.2151;192447.9653;28.80930041;281506.2584;42.14125285
2016;72537.97664;72165.78487;71009.67971;1156.105163;372.1917652;63805.8715;92889.88986;13.70363925;131552.3017;19.4073358;90197.64327;89361.84973;89780.12218;-418.2724474;835.793537;45937.24474;52631.12956;7.764440389;82768.35254;12.21045311;46851.60454;47188.51412;46300.35556;888.1585578;-336.9095765;28617.33514;43603.52899;6.432637956;63901.31058;9.427080912;62744.16252;61999.88492;62003.05953;-3.17461199;744.277606;44627.53857;2556.439617;0.377140357;3069.274286;0.452796614;221451.351;219835.9976;218213.181;1622.816662;1615.353332;182987.9899;187807.2893;27.70638811;277417.5404;40.92619659
2017;78079.94894;72891.50123;71681.60734;1209.893897;5188.447704;68936.45469;97076.32223;14.18086648;139310.3904;20.35040058;92404.37954;90139.46264;90604.21542;-464.7527741;2264.9169;46789.0473;51997.44113;7.595763342;82271.00756;12.01811262;47958.18965;48558.51162;46933.49274;1625.018882;-600.3219704;29277.0094;44424.73143;6.489545238;65268.84987;9.534444897;63523.3795;62637.64699;62640.29366;-2.64666601;885.7325135;45112.5215;2210.375135;0.322890628;2732.800984;0.399206366;229900.9149;222162.1398;219794.6264;2367.513339;7738.775148;190115.0329;192077.0183;28.0585264;285951.1972;41.77162518
2018;78365.57622;73047.9599;71519.0662;1528.8937;5317.616316;68818.26548;90980.88964;12.82285067;133095.3101;18.75845898;95446.50335;92629.73033;92529.94684;99.78349205;2816.773017;48354.38717;51046.70828;7.194525355;84901.34907;11.96599995;48981.93058;48762.80524;47506.70321;1256.102037;219.1253328;30119.82243;44595.89266;6.285347111;65211.44277;9.19090367;63644.89888;62842.82032;62845.18698;-2.36666312;802.078561;45943.30317;1167.872648;0.164600023;1540.220109;0.217078691;234455.8548;225300.2616;222417.8491;2882.412566;9155.593226;193235.7782;185450.2148;26.13736159;282407.1736;39.80247972
2019;80287.61398;74330.90651;72592.97066;1737.935851;5956.707465;71085.42808;88012.96183;12.27724793;136764.3779;19.07776014;97238.56624;93754.47868;93612.25063;142.228047;3484.087566;49851.08816;51429.49909;7.174087749;87075.33589;12.14645508;49328.31938;49910.31229;48413.60896;1496.70333;-581.9929111;30668.57256;45249.26884;6.31198497;61575.03478;8.589325397;64768.32019;64013.02093;64014.20306;-1.18212691;755.299263;47078.69168;278.8837734;0.038902511;737.0349829;0.102811689;238913.0991;229298.9977;225923.3126;3375.685101;9614.101383;198683.7805;183191.3321;25.55402473;284372.5021;39.66815387
2020;74940.37492;91660.68255;89364.93105;2295.751497;-16720.30762;65224.54655;96405.1766;13.83899146;145647.5611;20.90775025;100409.5431;104137.78;103842.46;295.3200058;-3728.236931;50261.12059;56864.16786;8.162868024;92782.14093;13.31890363;49505.78369;50792.12849;49224.52586;1567.602626;-1286.344797;30845.15568;46103.77261;6.618210121;63157.16137;9.066229095;77558.0356;77133.88872;77134.00246;-0.11373267;424.1468725;48917.25212;304.3429403;0.043688519;2510.609013;0.360398662;236562.0283;257872.7707;253714.2103;4158.560397;-21310.74248;195248.0749;196526.0999;28.21137945;300946.1123;43.20090295
2021;85993.6461;92744.79889;90690.71379;2054.085101;-6751.152787;75115.14986;100467.5417;13.5158692;149131.8098;20.06265904;108450.1295;105520.5208;105273.0426;247.4781281;2929.608741;51352.24488;55908.56782;7.521363384;92784.15272;12.4822251;51397.49705;51602.99894;50436.27816;1166.720779;-205.501892;31990.61272;46280.98296;6.226167189;63451.20292;8.536071891;74477.83793;72778.7729;72779.69935;-0.92644816;1699.065022;50496.10935;306.9632186;0.041295673;1138.012165;0.153096446;254301.3652;256629.3461;253161.9885;3467.35756;-2327.980916;208954.1168;201128.0276;27.05769511;304669.1494;40.98705215
2022;82880.52321;83522.72968;81082.66874;2440.060943;-642.2064704;71224.80825;109560.9747;14.02003134;141365.6144;18.08992983;109540.169;104341.6472;104375.7962;-34.14896915;5198.521812;54084.67842;51731.71446;6.619877745;87356.85315;11.17866852;52747.69657;52873.36632;51660.68808;1212.67824;-125.669752;33182.72032;46415.07093;5.939530485;62728.99637;8.027151069;72577.33958;67630.91391;67631.68322;-0.76930843;4946.42567;52165.23961;339.4631118;0.043439587;764.6001123;0.097842481;257356.492;247979.4207;244361.5998;3617.820905;9377.07126;210657.4466;204378.2188;26.15337296;288547.0595;36.9240857
2023;85805.07094;87231.9218;;;-1426.850867;75220.93013;111049.5454;13.92060405;142812.4018;17.90223357;111142.1377;107656.4106;;;3485.727009;57133.60375;52167.20582;6.539414585;87787.08982;11.00454139;53795.31071;54403.70665;;;-608.3959337;33917.01795;47305.74822;5.93000708;63634.75914;7.976928522;74205.51319;69262.20951;;;4943.303686;54041.27043;143.4615228;0.017983604;613.8200227;0.076945344;261642.9701;255249.1862;;;6393.783895;220312.8223;207750.2464;26.04251024;291932.3563;36.59514974
