sector,na_item,geo,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
S13,TE,AT,113252.2,115758.1,118878.2,130153.4,129973.4,134929.8,139842.5,146510.8,155960.8,156351.2,157845.9,163191.9,167292.1,174671.6,176030.0,179059.0,182091.3,187850.6,193308.6,216367.0,227664.2,237757.2,
S13,TE,BE,130526.9,136364.4,143545.3,146388.2,160791.6,158639.4,166871.4,178598.7,189453.9,195653.6,207926.9,218102.1,220469.6,224069.4,223850.7,228451.2,231560.7,240446.0,248477.6,270704.1,278574.4,294507.8 p,
S13,TE,BG,6462.4,6835.4,7250.7,7977.7,8833.9,9226.4,12237.5,13801.9,14695.3,13830.6,13978.1,14476.0,15879.5,18575.1,18495.2,16952.3,18265.6,20770.4,22343.7,25573.3,29615.7,35482.8,
S13,TE,CH,104387.6,115193.2,109647.2,110385.7,111854.0,110506.3,108527.9,119228.4,130550.6,146434.4,166925.3,174563.9,178817.1,182302.8,210265.1,209360.8,207556.2,202659.9,214327.4,249450.7,245902.6,256438.8,
S13,TE,CY,4094.4,4464.8,5215.4,5371.8,5905.2,6293.7,6614.5,7300.1,7862.4,8114.5,8355.3,8205.4,7729.8,8611.2,7256.5,7089.4,7395.8,9236.1,8919.4,9767.0,10445.4,10780.1,
S13,TE,CZ,32787.8,39012.6,43549.0,40865.6,46743.1,51652.0,56210.9,66233.5,66352.7,68900.8,71347.0,72636.1,68010.6,67266.7,71102.8,70533.6,75673.2,85642.7,92623.1,101900.7,110803.7,123187.5,
S13,TE,DE,1030137.0,1052274.0,1068281.0,1058667.0,1071405.0,1078898.0,1084748.0,1125536.0,1178850.0,1234544.0,1218524.0,1233138.0,1263544.0,1296940.0,1335789.0,1390374.0,1443273.0,1491601.0,1563438.0 p	1717583.0 p	1842603.0 p	1918143.0 p,,,,
S13,TE,DK,97244.9,100998.0,103713.5,107278.5,109058.5,112381.7,115738.1,121799.2,130756.1,137809.7,139876.9,147540.5,144431.1,146744.9,148870.0,148572.1,149024.1,152822.0,153734.9,166503.0,170811.4,171186.0,
S13,TE,EA19,3449315.5,3587985.0,3721929.1,3835074.1,3968442.5,4123127.9,4281423.0,4507095.5,4725637.8,4851560.0,4844913.2,4928905.9,4968642.3,5017705.1,5099369.9,5165342.3,5291402.3,5438796.0,5628309.3,6129816.3,6485629.6,6781896.8,
S13,TE,EA20,3462443.5,3602009.3,3737199.2,3851484.1,3985394.4,4141087.7,4301841.0,4529385.6,4748036.7,4873530.7,4867008.7,4949992.2,4990000.5,5039219.0,5120977.1,5187160.3,5313603.8,5462752.9,5654057.9,6157115.1,6514012.4,6812432.0,
S13,TE,EE,2443.1,2806.3,3063.7,3330.2,3824.7,4537.0,5533.4,6555.9,6479.8,5936.9,6241.4,7031.5,7266.3,7571.1,8154.5,8568.1,9351.4,10183.9,10937.6,12308.0,13056.3,14323.8,
S13,TE,EL,69988.0,74860.0,83355.0,92237.0,90778.0,98292.0,109528.0,123041.0,128469.0,118690.0,112064.0,107688.0,113742.0,90678.0,96036.0,87744.0,86172.0,87779.0,88276.0,99332.0,104678.0,109252.0,
S13,TE,ES,269274.0,289607.0,307871.0,333736.0,356857.0,385827.0,422204.0,459823.0,494355.0,493815.0,490976.0,510092.0,473465.0,468113.0,474881.0,473208.0,480265.0,503364.0,526652.0,580771.0,611470.0,637831.0,
S13,TE,EU27_2020,3881258.4,4049737.8,4193553.5,4321238.8,4495606.4,4690758.4,4896757.0,5178646.2,5365298.2,5548447.0,5568082.6,5670973.7,5717824.3,5775274.4,5878199.0,5943677.1,6107906.6,6297322.5,6529121.3,7118381.9,7516331.2,7893695.7,
S13,TE,FI,68376.0,71971.0,74873.0,77987.0,80729.0,83111.0,87119.0,93006.0,98310.0,101422.0,106241.0,111456.0,116102.0,118504.0,119415.0 b	121044.0,121375.0,124626.0,127945.0,136128.0,139882.0,143133.0,,
S13,TE,FR	180064.3,795531.0,838298.0,868664.0,902872.0,941123.0,977223.0,1020486.0,1061865.0,1106701.0,1134956.0,1158670.0,1192859.0,1211621.0,1229958.0,1248656.0,1266435.0,1298021.0,1315051.0,1349275.0,1421914.7,1477680.3,1538920.7,
S13,TE,HR,13127.9,14024.3,15270.1,16410.0,16951.9,17959.8,20418.0,22290.2,22398.9,21970.6,22095.5,21086.3,21358.2,21513.9,21607.2,21818.0,22201.5,23956.9,25748.6,27298.8,28382.8,30535.2,
S13,TE,HU,28357.5,36591.9,37051.4,40869.4,44924.6,47314.1,51065.1,52813.0,47831.7,48701.5,50116.4,49237.5,51183.1,53180.6,56823.8,54404.9,59343.1,62715.7,67538.9,70891.9,74508.8,82472.8,
S13,TE,IE,39279.7,44715.8,47552.2,51287.1,56238.3,62062.7,70236.2,77829.7,79460.5,108627.8,81113.7,74665.9,72869.7,73315.0,76416.8,75894.1,77895.8,82801.5,86580.6,101970.2,105889.0,107576.1,
S13,TE,IS,4351.8,4505.3,4835.6,5199.2,6105.4,6262.4,7082.3,7005.5,5046.5,5066.7,5525.7,5479.6,5577.1,6174.1,6866.8,8732.2,9733.5,9751.1,9605.9,9682.5,10807.0,12689.3,
S13,TE,IT,617372.0,630568.0,657939.0,680842.0,705620.0,742085.0,755481.0,783371.0,806150.0,804476.0,810766.0,821764.0,821721.0,827625.0,832927.0,832265.0,846821.0,857245.0,870864.0,946814.0,1026036.0,1091530.0,
S13,TE,LT,5074.6,5332.9,5597.1,6207.3,7157.4,8261.7,10238.5,12454.3,12090.6,11881.4,13319.7,12088.5,12460.1,12710.5,13133.0,13315.4,14047.5,15478.0,17057.5,21309.5,21150.9,24510.3,
S13,TE,LU,9106.4,10444.6,11366.3,12311.9,13154.2,13462.3,14072.6,15173.1,16672.6,17817.1,18393.6,19453.8,20244.7,21030.5,21861.4,22509.6,24010.6,25431.0,26911.3,30301.2,31014.2,34024.3,
S13,TE,LV,3249.9,3559.5,3547.1,4109.4,4798.6,6334.0,7872.0,9390.9,8528.5,8220.3,8318.1,8576.3,8782.2,9203.1,9506.7,9523.9,10307.0,11453.9,11733.2,12799.0,14891.2,15713.4,
