year;Einnahmen_AT;Einnahmen_BE;Einnahmen_BG;Einnahmen_CY;Einnahmen_CZ;Einnahmen_DE;Einnahmen_DK;Einnahmen_EE;Einnahmen_EL;Einnahmen_ES;Einnahmen_EU27_2020;Einnahmen_FI;Einnahmen_FR;Einnahmen_HR;Einnahmen_HU;Einnahmen_IE;Einnahmen_IS;Einnahmen_IT;Einnahmen_LT;Einnahmen_LU;Einnahmen_LV;Einnahmen_MT;Einnahmen_NL;Einnahmen_NO;Einnahmen_PL;Einnahmen_PT;Einnahmen_RO;Einnahmen_SE;Einnahmen_SI;Einnahmen_SK;Ausgaben_AT;Ausgaben_BE;Ausgaben_BG;Ausgaben_CY;Ausgaben_CZ;Ausgaben_DE;Ausgaben_DK;Ausgaben_EE;Ausgaben_EL;Ausgaben_ES;Ausgaben_EU27_2020;Ausgaben_FI;Ausgaben_FR;Ausgaben_HR;Ausgaben_HU;Ausgaben_IE;Ausgaben_IS;Ausgaben_IT;Ausgaben_LT;Ausgaben_LU;Ausgaben_LV;Ausgaben_MT;Ausgaben_NL;Ausgaben_NO;Ausgaben_PL;Ausgaben_PT;Ausgaben_RO;Ausgaben_SE;Ausgaben_SI;Ausgaben_SK
2000;29472.3;33844.2;2046.3;1556.1;8784.4;219734;32925.2;805.9;19193.1;78654;1036143.8;21773;240409;3800.7;7662.6;10761.5;1547.5;158872;1928.1;2610.6;1390.6;654;51804;28100.3;25534.9;20508.9;3516.1;51592.6;3029;3280.7;109009.8;126645.6;6206.6;3720.5;27380.7;1007254;93792;2244.4;66377.6;253353;3707661.5;65417;763723;12892.6;24259.9;33164.7;4382.3;577746;4920.9;8730.5;3204.4;1767.2;191530;78819.3;80375.2;54783.3;15642;151311.4;10394.1;11815.3
2001;30293.9;35265.2;1947.3;1631.4;9947.1;223159;34526.9;863.8;20331;83447;1084781.8;22772;248940;3904.7;8961.8;12563.4;1478.4;170472;2028.2;2826.3;1404.1;754.6;55407;30433.3;30838.2;21851.7;4309;49573.4;3318.7;3444.1;113252.2;130526.9;6462.4;4094.4;32787.8;1030137;97244.9;2443.1;69988;269274;3881258.4;68376;795531;13127.9;28357.5;39279.7;4351.8;617372;5074.6;9106.4;3249.9;1894.6;207640;85878.9;95440.2;59917.9;16401.4;142120.6;11325;10832.7
2002;30824.5;37623.3;2223.6;1737.7;11952.4;226938;36130.4;970.1;22564;88381;1135702.3;23936;259388;4200.7;11210;14315.8;1689;178082;2161.1;3051.3;1469.5;769.3;59181;34392.7;30497;23337.3;4695.3;52769.3;3523.2;3770.5;115758.1;136364.4;6835.4;4464.8;39012.6;1052274;100998;2806.3;74860;289607;4049737.8;71971;838298;14024.3;36591.9;44715.8;4505.3;630568;5332.9;10444.6;3559.5;1961.5;218881;98083;95191.8;62344.8;16988.7;152110;11802.3;11971.1
2003;31520;39160.1;2480.4;2034.7;12650;229979;37173.5;1069;24155;95217;1181686.6;24930;269109;4434.3;12523.2;15886.6;1793.7;187544;2266;3285.8;1542.1;773.7;62289;33799.1;27730.9;24263.3;5494.6;56161.7;3741.6;4272.1;118878.2;143545.3;7250.7;5215.4;43549;1068281;103713.5;3063.7;83355;307871;4193553.5;74873;868664;15270.1;37051.4;47552.2;4835.6;657939;5597.1;11366.3;3547.1;2166.8;229208;97820.2;87834.1;66267.3;17544.4;159411.2;12376.9;12161.9
2004;32543.1;40249.8;2657;2190.5;13176.1;230215;38498.4;1190;27524;102393;1222307.9;25944;277430;4858;13198.6;17282;1890.6;195098;2474;3537;1706.8;787.1;63548;33763.2;28159.8;25334.2;6042.1;58059.7;3932.6;4279;130153.4;146388.2;7977.7;5371.8;40865.6;1058667;107278.5;3330.2;92237;333736;4321238.8;77987;902872;16410;40869.4;51287.1;5199.2;680842;6207.3;12311.9;4109.4;2056.3;231037;96790.7;89575;70388.3;20416.9;162771.6;12912;13180.1
2005;35378.6;42470.2;2831.4;2350.1;14933.8;230964;39400.3;1344.9;28608;110198;1276451.3;27180;287526;5127.8;14195.1;19573.7;2306.1;203922;2702.7;3770;1925.5;798.1;64968;36903.1;33565.9;26881.1;8402.1;58604.2;4140.3;4689.7;129973.4;160791.6;8833.9;5905.2;46743.1;1071405;109058.5;3824.7;90778;356857;4495606.4;80729;941123;16951.9;44924.6;56238.3;6105.4;705620;7157.4;13154.2;4798.6;2184.8;234593;105565.2;108916.1;74144.9;26540.3;165195.6;13510.9;15653.4
2006;36786;44527.4;3057.2;2513.9;16554.5;232303;40953.9;1516.6;30396;119128;1329055.1;28141;296174;5502.2;14020.9;21425.2;2300.8;213908;3121.1;3989.4;2418.3;814.8;66773;39128.9;36560.7;26985.4;10668.9;61232.2;4345.8;5237.7;134929.8;158639.4;9226.4;6293.7;51652;1078898;112381.7;4537;98292;385827;4690758.4;83111;977223;17959.8;47314.1;62062.7;6262.4;742085;8261.7;13462.3;6334;2279.6;253629;113451.9;122020.1;75225.8;34650.1;172426.3;14333.9;17703
2007;38013.9;46453.6;3571.7;2704.8;17852.4;234687;42497.4;1850.3;32611;130075;1386038.3;29386;307119;6225.9;15138;23336.8;2491.6;216400;3547.2;4209.4;3269;855.8;69403;42499.2;40785.7;27280.3;14067.9;64132.1;4543.4;6021.6;139842.5;166871.4;12237.5;6614.5;56210.9;1084748;115738.1;5533.4;109528;422204;4896757;87119;1020486;20418;51065.1;70236.2;7082.3;755481;10238.5;14072.6;7872;2370.2;264371;122367.5;134642;78112.9;47894;177128.4;15225.3;20496.6
2008;40010.3;49019.2;4230.7;2970;20883.1;241921;44672.6;2191.5;35407;142386;1461273;31307;317372;6811.1;16035.6;24580.5;1731.8;224641;4297.7;4408.9;3883.4;993.9;73306;45269.2;48502.9;28151.3;16964.5;64233.8;5043.5;7048.6;146510.8;178598.7;13801.9;7300.1;66233.5;1125536;121799.2;6555.9;123041;459823;5178646.2;93006;1061865;22290.2;52813;77829.7;7005.5;783371;12454.3;15173.1;9390.9;2617.4;281277;128631.5;161687;81206.5;55322.3;177603.6;17086.5;24452.6
2009;41719.7;50826.6;4573.8;3070.2;20571.6;251620;47299.2;2105.4;38929;150942;1491094.4;32244;326744;7129.9;14052.6;23950.6;1533.4;227122;4230.5;4693.5;3039;993.1;76604;45769;42678.4;29146.8;15097;58644.6;5335.1;7731.8;155960.8;189453.9;14695.3;7862.4;66352.7;1178850;130756.1;6479.8;128469;494355;5365298.2;98310;1106701;22398.9;47831.7;79460.5;5046.5;806150;12090.6;16672.6;8528.5;2576.3;299259;129384.8;142711.7;88099.4;50002.2;164911.8;17895.8;28463.3
