geo;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AUT;-5136.6;-1458.9;-3131.6;-4142.1;-11644.8;-6373.1;-6790.6;-3846.9;-4392.5;-15351.9;-13141.6;-7919.3;-6975.6;-6316.5;-9092.1;-3477.1;-5487.8;-3014.4;655.5;2254;-30437.9;-23458.7;-15839.8
BEL;-203.3;615.5;-119.4;-5242;-708.5;-8417.5;779;228.3;-3852.8;-18816.9;-14844;-16279.7;-16676.6;-12294.8;-12314.6;-10057.8;-10163.5;-3043.5;-4001.9;-9532.3;-40851.4;-27280.8;-19608.4
BGR;15.7;108;-185.2;-7.1;376.7;386.8;731.3;-3.3;528.7;-1661.1;-1402.8;-724.7;-340.7;-305.8;-2315;-851.4;155.1;852.7;970.5;1319.1;-2345.6;-2819.9;-2484.3
CYP;-236.3;-239.5;-490.1;-759.7;-513.2;-325.8;-166.9;566;164.6;-1014.7;-911.7;-1122.1;-1120.3;-1007.7;-1538.6;-163.4;48.7;384.5;-784.9;214.9;-1252.9;-461.9;676.3
CZE;-2396.8;-4360.2;-5548.4;-6080.3;-2287.9;-3339;-2678.7;-896.4;-3183.3;-8094.6;-6556.8;-4461.1;-6336.2;-2047.3;-3275.6;-1091.7;1263;2914.7;1882.9;651;-12444.4;-12115;-8871.2
DEU;-33422;-65729;-85177;-81921;-75436;-75959;-39429;6521;-2963;-77053;-112286;-23741;256;1124;16966;29068;36374;43652;65623;53024;-147698;-129741;-96910
DNK;3359.8;2099.2;-29.2;-257.4;4196.5;10545.9;11247.4;11716.9;7668.6;-6471.5;-6590.3;-5095.8;-8885.9;-3197.1;3041.4;-3629.9;-300.1;5266.1;2299;12788.3;1183.1;13913.2;12722
EST;-4.2;13.9;32.7;157.1;234.1;127.6;392.1;449.4;-440;-309.6;28;181;-51.4;34.1;142;23.4;-89.6;-113.2;-143.4;33.5;-1489.9;-766.7;-348.6
GRC;-5809.3;-8319;-9847;-14009;-17101;-12329;-12954;-15607;-24625;-36141;-25544;-21364;-17311;-24218;-6613;-10324;407;1391;1657;1575;-16048;-12663;-4892
ESP;-7520;-3189;-2374;-3009;-941;11421;21322;20287;-50731;-120576;-102193;-103606;-119100;-76838;-63097;-57235;-47893;-36228;-31224;-38116;-113199;-82262;-63736
FIN;9351;7197;6024;3678;3508;4367;6866;9556;8114;-4515;-4767;-2018;-4334;-5159;-6181;-5127;-3694;-1480;-1995;-2275;-13260;-7030;-1387
Frau;-19494;-21215;-50179;-65480;-61184;-59257;-45163;-51180;-65026;-138934;-137410;-106104;-104043;-86468;-83941;-79697;-81261;-67962;-54095;-74705;-208236.2;-162079.3;-126795.9
HRV;-2082.6;-1182.5;-1320.1;-1425.4;-1937.6;-1116.9;-755.2;-942.3;-1131.2;-3205.8;-3053.4;-3477.6;-2456.4;-2463.1;-2273.4;-1582;-490.5;313.6;-27.7;120.8;-3686.2;-1461.7;75.7
HUN;-1558.4;-2400.2;-6312.9;-5418;-5528.4;-7085.8;-8530.7;-5205.7;-4098.2;-4493.6;-4416.8;-5323.6;-2330.1;-2655.7;-2948.6;-2260.4;-2089;-3123.7;-2798.2;-2999.5;-10422.4;-11018.3;-10544.8
IRL;5267.4;1171.3;-706.3;503.8;2028.5;2674.5;5132.2;527.9;-13167;-23517.1;-53764.1;-23320.4;-14863.1;-11473.5;-7047.4;-5358.1;-2071.4;-861.5;437.4;1691.3;-18703.5;-6599.9;8504.4
ISL;141.3;-25.8;-225.4;-235.1;31.9;679.3;900.8;886.1;-1341.6;-808.1;-691.9;-714;-301.3;-151.4;39.8;-62.5;2359.8;214.3;212.4;-351.1;-1685.5;-1847.9;-1091.3
ITA;-30086;-41606;-38743;-44876;-50524;-60978;-56154;-21643;-41989;-80772;-68314;-59240;-47844;-46032;-48080;-42248;-40765;-42010;-38353;-27004;-159457;-159908;-156442
LTU;-397.8;-482.5;-281.5;-210.7;-253.9;-72.1;-65.5;-236.8;-1008;-2452.6;-1934.5;-2802;-1059.4;-920.3;-220.1;-111.8;97.8;176.4;244.6;238.9;-3236.8;-648.2;-439.9
LUX;1274.5;1343.6;508;71.6;-392.7;-62.9;653.2;1642.3;1349.9;-82;-134.6;291.8;235.6;414.3;693.4;722.3;1064;795;1789.7;1387;-2222.4;416.3;-222.3
