month;quote;total
2000-01;9.9;19203000
2000-02;10.1;19680000
2000-03;10;19531000
2000-04;9.7;18953000
2000-05;9.4;18396000
2000-06;9.3;18276000
2000-07;9.3;18287000
2000-08;9.1;18020000
2000-09;9;17656000
2000-10;9.1;17870000
2000-11;9.1;17898000
2000-12;9.1;17905000
2001-01;9.4;18385000
2001-02;9.6;18763000
2001-03;9.5;18678000
2001-04;9.3;18233000
2001-05;9.1;17861000
2001-06;9.1;17836000
2001-07;9;17851000
2001-08;9;17760000
2001-09;8.9;17571000
2001-10;9.1;17950000
2001-11;9.2;18164000
2001-12;9.4;18397000
2002-01;9.7;18977000
2002-02;9.9;19452000
2002-03;9.9;19398000
2002-04;9.6;18970000
2002-05;9.4;18579000
2002-06;9.4;18676000
2002-07;9.5;18812000
2002-08;9.4;18738000
2002-09;9.3;18517000
2002-10;9.5;18777000
2002-11;9.6;18901000
2002-12;9.7;19123000
2003-01;10.1;19967000
2003-02;10.3;20350000
2003-03;10.3;20332000
2003-04;10;19739000
2003-05;9.7;19236000
2003-06;9.6;19174000
2003-07;9.6;19149000
2003-08;9.6;19101000
2003-09;9.5;18911000
2003-10;9.7;19378000
2003-11;9.8;19593000
2003-12;10;19854000
2004-01;10.6;20949000
2004-02;10.5;20801000
2004-03;10.5;20802000
2004-04;10.1;20083000
2004-05;9.8;19631000
2004-06;9.7;19437000
2004-07;9.5;19174000
2004-08;9.7;19439000
2004-09;9.8;19701000
2004-10;9.9;19966000
2004-11;10;20243000
2004-12;10;20197000
2005-01;10.3;20787000
2005-02;10.4;21098000
2005-03;10.3;20900000
2005-04;9.9;19837000
2005-05;9.7;19644000
2005-06;9.5;19306000
2005-07;9.2;18581000
2005-08;9.3;18886000
2005-09;9.4;19189000
2005-10;9.6;19550000
2005-11;9.5;19252000
2005-12;9.5;19138000
2006-01;9.8;19792000
2006-02;9.7;19582000
2006-03;9.5;19174000
2006-04;9;18272000
2006-05;8.6;17597000
2006-06;8.5;17345000
2006-07;8.3;16938000
2006-08;8.3;17066000
2006-09;8.3;17148000
2006-10;8.4;17208000
2006-11;8.4;17258000
2006-12;8.3;16857000
2007-01;8.4;17067000
