month;quote;total
2000-01;4.5;6316000
2000-02;4.4;6285000
2000-03;4.3;6069000
2000-04;3.7;5211000
2000-05;3.8;5459000
2000-06;4.1;5959000
2000-07;4.2;6028000
2000-08;4.1;5864000
2000-09;3.8;5359000
2000-10;3.6;5152000
2000-11;3.7;5336000
2000-12;3.7;5265000
2001-01;4.7;6647000
2001-02;4.6;6524000
2001-03;4.5;6509000
2001-04;4.2;6004000
2001-05;4.1;5901000
2001-06;4.7;6816000
2001-07;4.7;6858000
2001-08;4.9;7016000
2001-09;4.7;6767000
2001-10;5;7176000
2001-11;5.3;7617000
2001-12;5.4;7773000
2002-01;6.3;9050000
2002-02;6.1;8823000
2002-03;6.1;8776000
2002-04;5.7;8255000
2002-05;5.5;7969000
2002-06;6;8759000
2002-07;5.9;8693000
2002-08;5.7;8272000
2002-09;5.4;7790000
2002-10;5.3;7769000
2002-11;5.6;8170000
2002-12;5.7;8208000
2003-01;6.5;9395000
2003-02;6.4;9260000
2003-03;6.2;9017000
2003-04;5.8;8500000
2003-05;5.8;8501000
2003-06;6.5;9650000
2003-07;6.3;9319000
2003-08;6;8830000
2003-09;5.8;8435000
2003-10;5.6;8167000
2003-11;5.6;8269000
2003-12;5.4;7945000
2004-01;6.3;9144000
2004-02;6;8770000
2004-03;6;8834000
2004-04;5.4;7837000
2004-05;5.3;7792000
2004-06;5.8;8616000
2004-07;5.7;8517000
2004-08;5.4;7940000
2004-09;5.1;7545000
2004-10;5.1;7531000
2004-11;5.2;7665000
2004-12;5.1;7600000
2005-01;5.7;8443000
2005-02;5.8;8549000
2005-03;5.4;7986000
2005-04;4.9;7335000
2005-05;4.9;7287000
2005-06;5.2;7870000
2005-07;5.2;7838000
2005-08;4.9;7328000
2005-09;4.8;7259000
2005-10;4.6;6964000
2005-11;4.8;7271000
2005-12;4.6;6957000
2006-01;5.1;7608000
2006-02;5.1;7692000
2006-03;4.8;7255000
2006-04;4.5;6804000
2006-05;4.4;6655000
2006-06;4.8;7341000
