na_item;geo\TIME_PERIOD;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Einnahmen;AT;29472.3;30293.9;30824.5;31520;32543.1;35378.6;36786;38013.9;40010.3;41719.7;42534.1;43239.7;44370.5;44936.8;45839.5;47512;48927.1;50315.1;51872;53835.9;55179.7;57486.4;60102.2
Einnahmen;BE;33844.2;35265.2;37623.3;39160.1;40249.8;42470.2;44527.4;46453.6;49019.2;50826.6;52435.5;54733.3;56959.6;58618.6;60829;61217.7;62679;64568.7;66416.8;68554.5;70327.7;73215.5;80197.9 p
Einnahmen;BG;2046.3;1947.3;2223.6;2480.4;2657;2831.4;3057.2;3571.7;4230.7;4573.8;4599.3;4776.5;4828.1;5136.6;5247.7;5560.8;5678.7;6274;6832.4;7715.9;8301.1;9681.2;10885
Einnahmen;CY;1556.1;1631.4;1737.7;2034.7;2190.5;2350.1;2513.9;2704.8;2970;3070.2;3241.6;3409.1;3389.2;3108.9;2848.5;2829;2811.6;2918.5;3047.5;3331;3431.2;3541.4;3790.9
Einnahmen;CZ;8784.4;9947.1;11952.4;12650;13176.1;14933.8;16554.5;17852.4;20883.1;20571.6;21651.9;22177.3;22039.4;21689.5;21017.9;22181.2;23239.4;25581.8;28788.9;31347.1;33004.5;36264.4;39510.1
Einnahmen;DE;219734;223159;226938;229979;230215;230964;232303;234687;241921;251620;257980;265447;272782;280685;288857;296680;305760;318228;331030;348272.0 p;362253.0 p;376405.0 p;400776.0 p
Einnahmen;DK;32925.2;34526.9;36130.4;37173.5;38498.4;39400.3;40953.9;42497.4;44672.6;47299.2;49105.7;48593.7;49291.6;49538.5;50341.3;51038.1;51602;52451.1;53600.6;54744.2;55971.8;58693.4;60063.4
Einnahmen;EE;805.9;863.8;970.1;1069;1190;1344.9;1516.6;1850.3;2191.5;2105.4;2062.9;2185.1;2288;2514.9;2696.9;2901.9;3046.6;3266.3;3555.7;3899.9;4099.6;4373;4856.8
Einnahmen;EL;19193.1;20331;22564;24155;27524;28608;30396;32611;35407;38929;36259;34003;32064;29178;28827;28339;28123;28201;28450;28544;28866;29238;29872
Einnahmen;ES;78654;83447;88381;95217;102393;110198;119128;130075;142386;150942;151911;151110;142987;143566;143641;147737;149965;152394;157903;164986;171089;179609;187402
Einnahmen;EU27_2020;1036143.8;1084781.8;1135702.3;1181686.6;1222307.9;1276451.3;1329055.1;1386038.3;1461273;1491094.4;1528427.8;1548934.1;1558717;1580653.4;1599751;1624040.6;1656961;1707094.9;1762964.3;1826738.5;1879516.9;1962797.4;2076558.3
Einnahmen;FI;21773;22772;23936;24930;25944;27180;28141;29386;31307;32244;32999;34387;35790;36708;36927;36920;36576;36081;37170;38654;39319;41232;43146
Einnahmen;FR;240409;248940;259388;269109;277430;287526;296174;307119;317372;326744;334438;341741;348410;354970;360749;363065;366286;375615;381244;387266;394667;408498;427762
Einnahmen;HR;3800.7;3904.7;4200.7;4434.3;4858;5127.8;5502.2;6225.9;6811.1;7129.9;7173.2;7114.5;6979.5;6803;6658.4;6797.3;7046.8;7374.8;7915.1;8341.3;8675.6;9260.4;9799
Einnahmen;HU;7662.6;8961.8;11210;12523.2;13198.6;14195.1;14020.9;15138;16035.6;14052.6;14406.2;14055.7;13570.4;13884.1;14543.1;15518.8;16554.3;18069.5;18960.9;20802.6;20843.3;22593.8;24649
Einnahmen;IE;10761.5;12563.4;14315.8;15886.6;17282;19573.7;21425.2;23336.8;24580.5;23950.6;22405.5;23700.9;22877.8;22160;22542.7;23095.8;23923.2;25321.3;26723;28502.7;29933.2;32276.8;35296.1
