Kanton;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Zürich;135764;133235;136404;138271;140136;141722;144487;144643;146281;148711;156883;155291;149209;152547
Bern;73222;72093;74501;75734;76003;77332;78706;78524;78337;78903;80776;82366;80589;84878
Luzern;23066;22574;24087;24485;24761;25484;26004;26331;26795;27243;27793;28304;28040;30128
Uri;1691;1695;1703;1772;1799;1864;1873;1885;1896;1932;1963;2001;1982;2075
Schwyz;8323;8406;8551;8539;8646;8893;9018;9250;9313;9515;9720;9955;10021;10807
Obwalden;2226;2206;2345;2380;2394;2374;2383;2419;2476;2495;2520;2630;2579;2716
Nidwalden;2447;2429;2631;2683;2744;2883;2965;3178;3064;3027;3065;3026;2866;3159
Glarus;2506;2433;2491;2554;2576;2681;2720;2736;2719;2829;2790;2891;2774;2980
Zug;16067;15924;17515;17656;18001;18924;18298;19243;19575;19100;19674;20309;20319;22570
Freiburg;16159;15753;16276;16665;16823;17653;18139;18258;18289;18627;19066;19460;18886;20252
Solothurn;16765;16120;16640;16918;17011;17296;17572;17666;17666;17888;18369;18621;18141;19402
Basel-Stadt;30332;29895;30269;31071;30871;31235;32097;32764;35204;36876;38110;38317;37706;40076
Basel-Landschaft;18646;18284;18920;19240;19052;19331;19948;20327;20436;20729;20819;20816;20464;21596
Schaffhausen;6163;6006;6507;6616;6727;6869;6802;6757;6827;6913;7172;7294;7242;8250
Appenzell A. Rh.;2868;2764;2890;2943;2951;3054;3100;3128;3148;3113;3201;3255;3414;3580
Appenzell I. Rh.;836;819;884;905;913;945;985;992;1009;1003;1034;1047;1043;1155
St. Gallen;34861;33818;35196;35963;35346;36289;36885;36676;37105;37439;38072;38962;38601;41979
Graubünden;12767;12782;13172;13477;13661;14029;14126;14012;14101;14132;14501;14937;14627;15455
Aargau;39586;38626;39288;40175;40309;41229;41857;41593;42132;42759;43687;44509;44108;44951
Thurgau;14472;14057;14819;15298;15550;15945;16186;16060;16406;16541;16992;17358;17559;19274
Tessin;26980;26405;27178;27731;28046;29063;29653;29623;29564;29285;30521;30990;29018;33181
Waadt;46922;46869;49602;50404;53559;52300;53910;53575;57010;55196;58384;58635;56443;62917
Wallis;16183;16551;17017;17246;17348;17516;17655;18196;18302;18536;19308;19819;19026;20134
Neuenburg;13622;12749;13095;14147;14621;14897;15187;15463;15174;15553;16200;16398;15320;17603
Genf;47597;46480;48388;48536;49397;50197;50311;50042;50365;51443;53900;54591;52016;56342
Jura;4337;4065;4178;4327;4400;4608;4752;4665;4655;4771;5000;5098;4626;5323
Schweiz;614408;603039;624545;635739;643646;654612;665618;668006;677848;684558;709522;716879;696620;743330
