Kanton;2020;Einwohner;
Zürich;149209;1553.60;
Bern;80589;1046.30;
Luzern;28040;416.30;
Uri;1982;37.00;
Schwyz;10021;162.60;
Obwalden;2579;38.40;
Nidwalden;2866;43.90;
Glarus;2774;40.70;
Zug;20319;130.20;
Freiburg;18886;325.20;
Solothurn;18141;278.30;
Basel-Stadt;37706;196.60;
Basel-Landschaft;20464;291.30;
Schaffhausen;7242;83.60;
Appenzell A. Rh.;3414;55.70;
Appenzell I. Rh.;1043;16.30;
St. Gallen;38601;516.70;
Graubünden;14627;198.90;
Aargau;44108;695.30;
Thurgau;17559;282.90;
Tessin;29018;353.30;
Waadt;56443;815.60;
Wallis;19026;349.20;
Neuenburg;15320;177.30;
Genf;52016;509.10;
Jura;4626;73.80;
Schweiz;696620;8688.20;
