geo\TIME_PERIOD;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;213606.5;220525.1;226735.2;231862.5;242348.3;254075;267824.5;283978;293761.9;288044;295896.6;310128.7;318653;323910.2;333146.1;344269.2;357608;369361.9;385274.1;397147.2;380888.5;405241.4;447217.6
BE;256376.4;264334.9;273255.9;281200.2;296819.7;310037.6;325151.5;343618.9;351743.1;346472.8;363140.1;375967.8;386174.7;392880;403003.3;416701.4;430085.3;445050.1;460050.8;478676.2;460747.7;507929.6;554044.3
BG;14440;15905.3;17478.3;18798.3;21093.2;24039.9;27410;32464.7;37246.7;37417.7;38290;41479.9;42255.3;42056.2;43024.7;45797.8;48752.1;52501.8;56199.8;61530.8;61607.7;71060.1;85800.7
CY;10804.6;11602.9;12083;12871.3;13938;15039.3;16263.8;17591;19009.6;18675.5;19461.1;19858.1;19495.4;18040.3;17482.8;17944.2;19013.8;20312.4;21674;23177.9;22086.6;24927.6;27777
CZ;67032.5;75705.2;87358.2;88659.5;96554.1;110321.7;124581.2;139002.1;162064.5;149586.5;157920.8;165202.2;162587.5;159461.6;157821.3;169558.2;177438.5;194132.9;210970.5;225613.5;215805.4;238249.5;276229.4
DE;2109090;2172540;2198120;2211570;2262520;2288310;2385080;2499550;2546490;2445730;2564400;2693560;2745310;2811350;2927430;3026180;3134740;3267160;3365450;3474110;3403730;3617450;3876810
DK;178018.2;184045.6;189794.9;193353.4;202422.2;212832.3;225531.2;233383.2;241613.5;231278.1;243165.4;247879.9;254578;258742.7;265757;273017.5;283109.7;294808.2;302328.7;309526.4;311356.3;342961.7;380617.8
EE;6171.6;6987.1;7822.6;8744.4;9777.5;11343.3;13568.9;16401.3;16618.1;14131.9;14741.1;16677.3;17916.7;18910.8;20048.2;20631.4;21747.9;23833.6;25932.2;27951;27430;31169;36011.1
EL;142975.7;152194;163461;178905;193716;199242;217862;232695;241990;237534;224124;203308;188381;179884;177236;176369;174494;176903;179558;183347;165016;181500;206620
ES;647851;700993;749552;802266;859437;927357;1003823;1075539;1109541;1069323;1072709;1063763;1031104;1020677;1032608;1078092;1114420;1162492;1203859;1245513;1119010;1222290;1346377
FI;136442;144628;148486;151749;158758;164687;172897;187072;194265;181747;188143;197998;201037;204321;206897;211385;217518;226301;233462;239858;238038;250923;268645
FR;1478585.1;1538199.9;1587829.2;1630665.8;1704018.5;1765904.9;1848150.7;1941360.2;1992380;1936422.3;1995289;2058368.9;2088804.4;2117189.5;2149765;2198432;2234129;2297242;2363306;2437635;2317832;2502118;2639092
HR;23624.9;25931.7;28761.2;31025.7;33818;36845.2;40635.9;44445.1;48590.8;45692.4;45861.8;45649.2;44717.2;44532.9;44084.2;45360.7;47448.9;50096.9;52876.9;55772.3;50543.1;58455.1;67989.5
HU;51238.5;60012.9;71756.1;75427.9;83883.2;91090.4;92126.7;102414.6;108345.4;94605.6;99771.6;102152;100247.6;102239.7;106263.8;112791;116255.7;127024.7;136055.4;146554.5;137866;153963.3;168865
IE;108495.3;122089.2;135997.9;145576.9;156260;170306.8;184916.2;197069.4;187283;169519.7;167391.4;171823.5;175218.5;179285.6;195469.9;263506.8;269724.8;298528.3;327441.4;356357.4;375249.6;434069.7;506282.4
IT;1241512.9;1304136.8;1350258.9;1394693.2;1452319;1493635.3;1552686.8;1614839.8;1637699.4;1577255.9;1611279.4;1648755.8;1624358.7;1612751.3;1627405.6;1655355;1695786.8;1736592.8;1771391.2;1796648.5;1661239.8;1822344.5;1946479.1
LT;12475.7;13664.6;15153.3;16650.2;18219.4;20979.9;24053.3;29011.2;32660.1;26897;28033.8;31317.2;33410.2;35039.5;36581.3;37345.7;38889.9;42276.3;45515.2;48959.2;49873.2;56478.1;67399.1
LU;22986;23879.9;25011.1;26227.3;28189.4;30281;34175;37641.9;40009.6;39050.7;42402.7;44323.5;46526.2;49094.5;51791.3;54142.3;56208.1;58168.8;60121.2;62431.5;64524.3;72360.9;77529
LV;8632.3;9374.4;10168.7;10499.6;11724;13791.9;17363.1;22791.5;24531.5;18922;17937.5;19666;22097.5;22791.3;23625.8;24572.1;25371.3;26984.4;29153.6;30572.9;30109.5;33348.9;38870
MT;4412.4;4565.5;4740.9;4823.5;4910.4;5152.1;5403;5790.3;6206;6259.6;6815.8;6924.6;7364.5;7944.3;8751.1;9996.7;10541.1;11936.6;13044;14285.6;13353.8;15292.6;17212.5
NL;452007;481881;501137;512810;529286;550883;584546;619170;647198;624842;639187;650359;652966;660463;671560;690008;708337;738146;773987;813055;796530;870587;958549
