freq,unit,sector,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,S1,B1GQ,AT	213606.5 	220525.1 	226735.2 	231862.5 	242348.3 	254075.0 	267824.5 	283978.0 	293761.9 	288044.0 	295896.6 	310128.7 	318653.0 	323910.2 	333146.1 	344269.2 	357608.0 	369361.9 	385274.1 	397147.2 	380888.5 	405241.4 	447217.6 
A,MIO_EUR,S1,B1GQ,BE	256376.4 	264334.9 	273255.9 	281200.2 	296819.7 	310037.6 	325151.5 	343618.9 	351743.1 	346472.8 	363140.1 	375967.8 	386174.7 	392880.0 	403003.3 	416701.4 	430085.3 	445050.1 	460050.8 	478676.2 	460747.7 	507929.6 	554044.3 
A,MIO_EUR,S1,B1GQ,BG	14440.0 	15905.3 	17478.3 	18798.3 	21093.2 	24039.9 	27410.0 	32464.7 	37246.7 	37417.7 	38290.0 	41479.9 	42255.3 	42056.2 	43024.7 	45797.8 	48752.1 	52501.8 	56199.8 	61530.8 	61607.7 	71060.1 	85800.7 
A,MIO_EUR,S1,B1GQ,CY	10804.6 	11602.9 	12083.0 	12871.3 	13938.0 	15039.3 	16263.8 	17591.0 	19009.6 	18675.5 	19461.1 	19858.1 	19495.4 	18040.3 	17482.8 	17944.2 	19013.8 	20312.4 	21674.0 	23177.9 	22086.6 	24927.6 	27777.0 
A,MIO_EUR,S1,B1GQ,CZ	67032.5 	75705.2 	87358.2 	88659.5 	96554.1 	110321.7 	124581.2 	139002.1 	162064.5 	149586.5 	157920.8 	165202.2 	162587.5 	159461.6 	157821.3 	169558.2 	177438.5 	194132.9 	210970.5 	225613.5 	215805.4 	238249.5 	276229.4 
A,MIO_EUR,S1,B1GQ,DE	2109090.0 	2172540.0 	2198120.0 	2211570.0 	2262520.0 	2288310.0 	2385080.0 	2499550.0 	2546490.0 	2445730.0 	2564400.0 	2693560.0 	2745310.0 	2811350.0 	2927430.0 	3026180.0 	3134740.0 	3267160.0 	3365450.0 	3474110.0 	3403730.0 	3617450.0 	3876810.0 
A,MIO_EUR,S1,B1GQ,DK	178018.2 	184045.6 	189794.9 	193353.4 	202422.2 	212832.3 	225531.2 	233383.2 	241613.5 	231278.1 	243165.4 	247879.9 	254578.0 	258742.7 	265757.0 	273017.5 	283109.7 	294808.2 	302328.7 	309526.4 	311356.3 	342961.7 	380617.8 
A,MIO_EUR,S1,B1GQ,EE	6171.6 	6987.1 	7822.6 	8744.4 	9777.5 	11343.3 	13568.9 	16401.3 	16618.1 	14131.9 	14741.1 	16677.3 	17916.7 	18910.8 	20048.2 	20631.4 	21747.9 	23833.6 	25932.2 	27951.0 	27430.0 	31169.0 	36011.1 
A,MIO_EUR,S1,B1GQ,EL	142975.7 	152194.0 	163461.0 	178905.0 	193716.0 	199242.0 	217862.0 	232695.0 	241990.0 	237534.0 	224124.0 	203308.0 	188381.0 	179884.0 	177236.0 	176369.0 	174494.0 	176903.0 	179558.0 	183347.0 	165016.0 	181500.0 	206620.0 
A,MIO_EUR,S1,B1GQ,ES	647851.0 	700993.0 	749552.0 	802266.0 	859437.0 	927357.0 	1003823.0 	1075539.0 	1109541.0 	1069323.0 	1072709.0 	1063763.0 	1031104.0 	1020677.0 	1032608.0 	1078092.0 	1114420.0 	1162492.0 	1203859.0 	1245513.0 	1119010.0 	1222290.0 	1346377.0 
