geo\TIME_PERIOD;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
AT;141245.5;147154.2;151295.9;152688.1;157985.4;174403.5;180270;184674.5;201809.9;230014.6;244696.8;255683.8;261040.8;263229.5;280001;292264.6;296244.5;289951.3;285421.8;280540.4;315980.9;334284;350698.4
BE;280959.5;286055.5;288110.8;285866.7;288418.8;294975.3;297494.9;300063.7;327683.2;347223.7;364132.1;389106.6;404752.3;414432.4;431384.3;438504.8;451619.9;454048.4;459388.5;467249.4;515211.9;548456.4;578063.2
BG;10177.1;10269.8;8890.3;8126.5;7526.2;6388.6;5721;5296.9;4848.6;5112.5;5857;6285;7005.7;7147.6;11619.3;11871.6;14188.1;13182.6;12427.2;12311.1;15131.7;17013.2;19352.9
CY;6024.5;6660.9;7339.8;8184.8;9055.9;9595.9;9597.7;9461.9;8658.6;10139;10953.7;13057.9;15618.5;18706.5;19013.8;19296.8;19631.5;18935.6;21343.9;21565.9;25388.1;24744.7;23767.3
CZ;11567.8;18322.2;22013.9;24530.7;28673;31385.6;35405;39606.2;42298.6;49824.4;59059.8;62576.1;71778.7;67096.2;65581;67943.9;64939.8;68520.7;67431.3;68492.7;81922.9;103255.7;124299.8
DE;1251530.5;1264266.9;1317679.6;1405194.6;1475183.2;1545669.5;1595311.5;1603669.1;1672576.3;1789213.3;2102672.3;2139149.2;2216704.5;2201917.7;2203742.6;2177230.8;2161570.5;2130325;2083675.3;2069889.2;2340848.9;2495538.2;2561675.4
DK;93084;89464.7;93174.5;89061.4;89394.7;79532.5;71183.3;63755;80547.5;92986.6;103472.9;114452.4;114025.7;113943.4;117801.4;108532.4;105450.1;105727;102597.3;104187.6;131859.7;123539.1;113586
EE;315.6;333.4;442.9;489.7;499.9;533.1;628.1;617.5;749.4;1023.1;981.9;1027.4;1762.5;1934.2;2129.9;2077.4;2174.1;2174;2127.4;2373.4;5094.4;5533.5;6657.4
EL;148217;162971;171410;181510;199282;213976;225730;239915;264775;301062;330570;356235;305085;320498;319629;311729;315012;317481;334721;331144;341588;353848;356597
ES;374557;378883;384145;382775;389888;393479;392132;384662;440621;569535;649153;743043;927813;1025655;1084846;1113661;1145050;1183412;1208861;1223355;1345786;1428133;1502804
EU27_2020;5225147.6;5406343;5589401.6;5846817.9;6143293.5;6420221.6;6573603.7;6689925.5;7207744.2;8021735.5;8830866.1;9262773;9687459.4;9997416.9;10242855.5;10395522.2;10580510.4;10707440.5;10803917.1;10897340;12121160.1;12794352.4;13276380.3
FI;61564;62825;63299;68508;71335;69397;69532;67340;67435;80200;94286;102829;115931;123726;133359.1;144443;147963;149457;151384;155613;177906;181944;196878
FR;870626;897446;956794;1050356;1123615;1189919;1194106;1252867;1370326;1607983;1701122;1807957;1892540;1977734;2039884;2101255;2188481;2254331;2310877;2374942;2657352;2823692;2949331
HR;8441;9661.3;10397.5;11622.3;13210.7;15124.7;15534.8;16488.4;18559.3;22096.9;25790.4;28518.7;30747;35386.3;36741.7;37534.5;37575.8;38365.9;38664.6;39415.7;43780.8;45743.6;46334
HU;28008.4;32818.1;41007.4;42348.3;50505.1;54075.6;62298.8;66503.3;73317.3;76528.1;79114.5;72881.6;77530.7;78882.3;79575.8;83833.8;87470.1;91265.8;93372.4;94233.4;105468;114630.7;121820.6
