year;country;value
2000;AT;141245.5
2001;AT;147154.2
2002;AT;151295.9
2003;AT;152688.1
2004;AT;157985.4
2005;AT;174403.5
2006;AT;180270
2007;AT;184674.5
2008;AT;201809.9
2009;AT;230014.6
2010;AT;244696.8
2011;AT;255683.8
2012;AT;261040.8
2013;AT;263229.5
2014;AT;280001
2015;AT;292264.6
2016;AT;296244.5
2017;AT;289951.3
2018;AT;285421.8
2019;AT;280540.4
2020;AT;315980.9
2021;AT;334284
2022;AT;350698.4
2000;BE;280959.5
2001;BE;286055.5
2002;BE;288110.8
2003;BE;285866.7
2004;BE;288418.8
2005;BE;294975.3
2006;BE;297494.9
2007;BE;300063.7
2008;BE;327683.2
2009;BE;347223.7
2010;BE;364132.1
2011;BE;389106.6
2012;BE;404752.3
2013;BE;414432.4
2014;BE;431384.3
2015;BE;438504.8
2016;BE;451619.9
2017;BE;454048.4
2018;BE;459388.5
2019;BE;467249.4
2020;BE;515211.9
2021;BE;548456.4
2022;BE;578063.2
2000;BG;10177.1
2001;BG;10269.8
2002;BG;8890.3
2003;BG;8126.5
2004;BG;7526.2
2005;BG;6388.6
2006;BG;5721
2007;BG;5296.9
2008;BG;4848.6
2009;BG;5112.5
2010;BG;5857
2011;BG;6285
2012;BG;7005.7
2013;BG;7147.6
2014;BG;11619.3
2015;BG;11871.6
2016;BG;14188.1
2017;BG;13182.6
2018;BG;12427.2
2019;BG;12311.1
2020;BG;15131.7
2021;BG;17013.2
2022;BG;19352.9
2000;CY;6024.5
2001;CY;6660.9
2002;CY;7339.8
2003;CY;8184.8
2004;CY;9055.9
2005;CY;9595.9
2006;CY;9597.7
2007;CY;9461.9
2008;CY;8658.6
2009;CY;10139
2010;CY;10953.7
2011;CY;13057.9
2012;CY;15618.5
2013;CY;18706.5
2014;CY;19013.8
2015;CY;19296.8
2016;CY;19631.5
2017;CY;18935.6
2018;CY;21343.9
2019;CY;21565.9
2020;CY;25388.1
2021;CY;24744.7
2022;CY;23767.3
2000;CZ;11567.8
2001;CZ;18322.2
2002;CZ;22013.9
2003;CZ;24530.7
2004;CZ;28673
2005;CZ;31385.6
2006;CZ;35405
2007;CZ;39606.2
2008;CZ;42298.6
2009;CZ;49824.4
2010;CZ;59059.8
2011;CZ;62576.1
2012;CZ;71778.7
2013;CZ;67096.2
2014;CZ;65581
2015;CZ;67943.9
2016;CZ;64939.8
2017;CZ;68520.7
2018;CZ;67431.3
2019;CZ;68492.7
2020;CZ;81922.9
2021;CZ;103255.7
2022;CZ;124299.8
2000;DE;1251530.5
2001;DE;1264266.9
2002;DE;1317679.6
2003;DE;1405194.6
2004;DE;1475183.2
2005;DE;1545669.5
2006;DE;1595311.5
2007;DE;1603669.1
2008;DE;1672576.3
2009;DE;1789213.3
2010;DE;2102672.3
2011;DE;2139149.2
2012;DE;2216704.5
2013;DE;2201917.7
2014;DE;2203742.6
2015;DE;2177230.8
2016;DE;2161570.5
2017;DE;2130325
2018;DE;2083675.3
2019;DE;2069889.2
2020;DE;2340848.9
2021;DE;2495538.2
2022;DE;2561675.4
2000;DK;93084
2001;DK;89464.7
2002;DK;93174.5
2003;DK;89061.4
2004;DK;89394.7
2005;DK;79532.5
2006;DK;71183.3
2007;DK;63755
2008;DK;80547.5
2009;DK;92986.6
2010;DK;103472.9
2011;DK;114452.4
2012;DK;114025.7
2013;DK;113943.4
2014;DK;117801.4
2015;DK;108532.4
2016;DK;105450.1
2017;DK;105727
2018;DK;102597.3
2019;DK;104187.6
2020;DK;131859.7
2021;DK;123539.1
2022;DK;113586
2000;EE;315.6
2001;EE;333.4
2002;EE;442.9
2003;EE;489.7
2004;EE;499.9
2005;EE;533.1
2006;EE;628.1
2007;EE;617.5
2008;EE;749.4
2009;EE;1023.1
2010;EE;981.9
2011;EE;1027.4
2012;EE;1762.5
2013;EE;1934.2
2014;EE;2129.9
2015;EE;2077.4
2016;EE;2174.1
2017;EE;2174
2018;EE;2127.4
2019;EE;2373.4
2020;EE;5094.4
2021;EE;5533.5
2022;EE;6657.4
2000;EL;148217
2001;EL;162971
2002;EL;171410
2003;EL;181510
2004;EL;199282
2005;EL;213976
2006;EL;225730
2007;EL;239915
2008;EL;264775
2009;EL;301062
2010;EL;330570
2011;EL;356235
2012;EL;305085
2013;EL;320498
2014;EL;319629
2015;EL;311729
2016;EL;315012
2017;EL;317481
2018;EL;334721
2019;EL;331144
2020;EL;341588
2021;EL;353848
2022;EL;356597
2000;ES;374557
2001;ES;378883
2002;ES;384145
2003;ES;382775
2004;ES;389888
2005;ES;393479
2006;ES;392132
2007;ES;384662
2008;ES;440621
2009;ES;569535
2010;ES;649153
2011;ES;743043
2012;ES;927813
2013;ES;1025655
2014;ES;1084846
2015;ES;1113661
2016;ES;1145050
2017;ES;1183412
2018;ES;1208861
2019;ES;1223355
2020;ES;1345786
2021;ES;1428133
2022;ES;1502804
2000;EU27;5225147.6
2001;EU27;5406343
2002;EU27;5589401.6
2003;EU27;5846817.9
2004;EU27;6143293.5
2005;EU27;6420221.6
2006;EU27;6573603.7
2007;EU27;6689925.5
2008;EU27;7207744.2
2009;EU27;8021735.5
2010;EU27;8830866.1
2011;EU27;9262773
2012;EU27;9687459.4
2013;EU27;9997416.9
2014;EU27;10242855.5
2015;EU27;10395522.2
2016;EU27;10580510.4
2017;EU27;10707440.5
2018;EU27;10803917.1
2019;EU27;10897340
2020;EU27;12121160.1
2021;EU27;12794352.4
2022;EU27;13276380.3
2000;FI;61564
2001;FI;62825
2002;FI;63299
2003;FI;68508
2004;FI;71335
2005;FI;69397
2006;FI;69532
2007;FI;67340
2008;FI;67435
2009;FI;80200
2010;FI;94286
2011;FI;102829
2012;FI;115931
2013;FI;123726
2014;FI;133359.1
2015;FI;144443
2016;FI;147963
2017;FI;149457
2018;FI;151384
2019;FI;155613
2020;FI;177906
2021;FI;181944
2022;FI;196878
2000;FR;870626
2001;FR;897446
2002;FR;956794
2003;FR;1050356
2004;FR;1123615
2005;FR;1189919
2006;FR;1194106
2007;FR;1252867
2008;FR;1370326
2009;FR;1607983
2010;FR;1701122
2011;FR;1807957
2012;FR;1892540
2013;FR;1977734
2014;FR;2039884
2015;FR;2101255
2016;FR;2188481
2017;FR;2254331
2018;FR;2310877
2019;FR;2374942
2020;FR;2657352
2021;FR;2823692
2022;FR;2949331
2000;HR;8441
2001;HR;9661.3
2002;HR;10397.5
2003;HR;11622.3
2004;HR;13210.7
2005;HR;15124.7
2006;HR;15534.8
2007;HR;16488.4
2008;HR;18559.3
2009;HR;22096.9
2010;HR;25790.4
2011;HR;28518.7
