freq,unit,sector,na_item,geo\TIME_PERIOD	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,PC_GDP,S13,GD,AT	66.1 	66.7 	66.7 	65.9 	65.2 	68.6 	67.3 	65.0 	68.7 	79.9 	82.7 	82.4 	81.9 	81.3 	84.0 	84.9 	82.8 	78.5 	74.1 	70.6 	83.0 	82.5 	78.4 
A,PC_GDP,S13,GD,BE	109.6 	108.2 	105.4 	101.7 	97.2 	95.1 	91.5 	87.3 	93.2 	100.2 	100.3 	103.5 	104.8 	105.5 	107.0 	105.2 	105.0 	102.0 	99.9 	97.6 	111.8 	108.0 	104.3 
A,PC_GDP,S13,GD,BG	70.7 	64.5 	51.0 	43.4 	35.7 	26.6 	20.9 	16.3 	13.0 	13.7 	15.3 	15.2 	16.6 	17.0 	27.0 	25.9 	29.1 	25.1 	22.1 	20.0 	24.6 	23.9 	22.6 
A,PC_GDP,S13,GD,CY	55.7 	57.3 	60.5 	63.8 	64.8 	63.4 	59.3 	54.0 	45.5 	54.3 	56.3 	65.8 	80.1 	103.7 	108.8 	107.5 	103.2 	93.2 	98.5 	93.0 	114.9 	99.3 	85.6 
A,PC_GDP,S13,GD,CZ	17.0 	22.7 	25.8 	28.2 	28.4 	27.7 	27.6 	27.3 	28.1 	33.4 	37.1 	39.7 	44.2 	44.4 	41.9 	39.7 	36.6 	34.2 	32.1 	30.0 	37.7 	42.0 	44.2 
A,PC_GDP,S13,GD,DE	59.3 	58.2 	59.9 	63.5 	65.2 	67.5 	66.9 	64.2 	65.7 	73.2 	82.0 	79.4 	80.7 	78.3 	75.3 	71.9 	69.0 	65.2 	61.9 	59.6 	68.8 	69.0 	66.1 
A,PC_GDP,S13,GD,DK	52.4 	48.5 	49.1 	46.2 	44.2 	37.4 	31.5 	27.3 	33.3 	40.2 	42.6 	46.1 	44.9 	44.0 	44.3 	39.8 	37.2 	35.9 	34.0 	33.7 	42.3 	36.0 	29.8 
A,PC_GDP,S13,GD,EA19	69.2 	68.1 	68.1 	69.4 	69.7 	70.4 	68.4 	66.0 	69.7 	80.3 	85.7 	87.6 	91.1 	93.0 	93.2 	91.3 	90.5 	88.1 	86.1 	84.1 	97.2 	94.8 	91.0 
A,PC_GDP,S13,GD,EA20	69.0 	68.0 	68.0 	69.3 	69.6 	70.3 	68.3 	65.9 	69.6 	80.1 	85.6 	87.5 	91.0 	93.0 	93.2 	91.3 	90.4 	88.1 	86.1 	84.1 	97.2 	94.7 	90.9 
A,PC_GDP,S13,GD,EE	5.1 	4.8 	5.7 	5.6 	5.1 	4.7 	4.6 	3.8 	4.5 	7.2 	6.7 	6.2 	9.8 	10.2 	10.6 	10.1 	10.0 	9.1 	8.2 	8.5 	18.6 	17.8 	18.5 
A,PC_GDP,S13,GD,EL	104.9 	107.1 	104.9 	101.5 	102.9 	107.4 	103.6 	103.1 	109.4 	126.7 	147.5 	175.2 	162.0 	178.2 	180.3 	176.7 	180.5 	179.5 	186.4 	180.6 	207.0 	195.0 	172.6 
A,PC_GDP,S13,GD,ES	57.8 	54.0 	51.2 	47.7 	45.4 	42.4 	39.1 	35.8 	39.7 	53.3 	60.5 	69.9 	90.0 	100.5 	105.1 	103.3 	102.7 	101.8 	100.4 	98.2 	120.3 	116.8 	111.6 
A,PC_GDP,S13,GD,EU27_2020	66.4 	65.6 	65.4 	66.7 	67.0 	67.1 	65.0 	62.3 	65.0 	75.7 	80.4 	81.8 	85.0 	86.8 	86.9 	85.1 	84.3 	81.9 	79.8 	77.7 	90.0 	87.4 	83.5 
