freq,unit,sector,na_item,geo\TIME_PERIOD	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,MIO_EUR,S13,GD,AT	125255.9 	125182.0 	118605.7 	125384.9 	135949.0 	141245.5 	147154.2 	151295.9 	152688.1 	157985.4 	174403.5 	180270.0 	184674.5 	201809.9 	230014.6 	244696.8 	255683.8 	261040.8 	263229.5 	280001.0 	292264.6 	296244.5 	289951.3 	285421.8 	280540.4 	315980.9 	334284.0 	350698.4 
A,MIO_EUR,S13,GD,BE	288069.3 	278079.5 	275571.5 	277254.7 	279531.2 	280959.5 	286055.5 	288110.8 	285866.7 	288418.8 	294975.3 	297494.9 	300063.7 	327683.2 	347223.7 	364132.1 	389106.6 	404752.3 	414432.4 	431384.3 	438504.8 	451619.9 	454048.4 	459388.5 	467249.4 	515211.9 	548456.4 	578063.2 
A,MIO_EUR,S13,GD,BG	: 	: 	9266.9 	9125.9 	9647.5 	10177.1 	10269.8 	8890.3 	8126.5 	7526.2 	6388.6 	5721.0 	5296.9 	4848.6 	5112.5 	5857.0 	6285.0 	7005.7 	7147.6 	11619.3 	11871.6 	14188.1 	13182.6 	12427.2 	12311.1 	15131.7 	17013.2 	19352.9 
A,MIO_EUR,S13,GD,CY	3679.1 	3987.4 	4570.6 	5073.9 	5509.9 	6024.5 	6660.9 	7339.8 	8184.8 	9055.9 	9595.9 	9597.7 	9461.9 	8658.6 	10139.0 	10953.7 	13057.9 	15618.5 	18706.5 	19013.8 	19296.8 	19631.5 	18935.6 	21343.9 	21565.9 	25388.1 	24744.7 	23767.3 
A,MIO_EUR,S13,GD,CZ	6199.8 	6183.8 	6320.3 	8551.9 	9475.2 	11567.8 	18322.2 	22013.9 	24530.7 	28673.0 	31385.6 	35405.0 	39606.2 	42298.6 	49824.4 	59059.8 	62576.1 	71778.7 	67096.2 	65581.0 	67943.9 	64939.8 	68520.7 	67431.3 	68492.7 	81922.9 	103255.7 	124299.8 
A,MIO_EUR,S13,GD,DE	1079862.9 	1115746.5 	1142492.8 	1199279.1 	1243666.4 	1251530.5 	1264266.9 	1317679.6 	1405194.6 	1475183.2 	1545669.5 	1595311.5 	1603669.1 	1672576.3 	1789213.3 	2102672.3 	2139149.2 	2216704.5 	2201917.7 	2203742.6 	2177230.8 	2161570.5 	2130325.0 	2083675.3 	2069889.2 	2340848.9 	2495538.2 	2561675.4 
A,MIO_EUR,S13,GD,DK	: 	: 	: 	: 	: 	93084.0 	89464.7 	93174.5 	89061.4 	89394.7 	79532.5 	71183.3 	63755.0 	80547.5 	92986.6 	103472.9 	114452.4 	114025.7 	113943.4 	117801.4 	108532.4 	105450.1 	105727.0 	102597.3 	104187.6 	131859.7 	123539.1 	113586.0 
A,MIO_EUR,S13,GD,EA19	4102480.4 	4398440.4 	4473846.9 	4632503.8 	4776217.9 	4858310.7 	5011884.9 	5177546.2 	5430215.6 	5687137.0 	5949719.9 	6088380.0 	6200333.2 	6709257.5 	7448741.6 	8174198.6 	8586635.1 	8957075.2 	9244809.8 	9478309.8 	9608052.3 	9784872.8 	9890124.5 	9991467.6 	10082912.9 	11146732.5 	11771500.4 	12216702.2 
A,MIO_EUR,S13,GD,EA20	4106550.2 	4403197.1 	4479121.4 	4637552.6 	4782512.3 	4866751.7 	5021546.2 	5187943.7 	5441837.9 	5700347.7 	5964844.6 	6103914.7 	6216821.5 	6727816.8 	7470838.5 	8199989.0 	8615153.8 	8987822.2 	9280195.7 	9515049.9 	9645583.8 	9822445.6 	9928487.5 	10030129.3 	10122325.9 	11190510.7 	11817241.6 	12263034.0 
A,MIO_EUR,S13,GD,EE	236.2 	276.7 	311.2 	302.3 	348.0 	315.6 	333.4 	442.9 	489.7 	499.9 	533.1 	628.1 	617.5 	749.4 	1023.1 	981.9 	1027.4 	1762.5 	1934.2 	2129.9 	2077.4 	2174.1 	2174.0 	2127.4 	2373.4 	5094.4 	5533.5 	6657.4 
