year;valueUS;indexUS;valueEU;indexEU;valueBund;indexBund;valueKantone;indexKantone;valueGemeinde;indexGemeinde
2001;5623900;100;5406343;100;104954;100;56863;100;43614;100
2002;6069790;107.9;5589401.6;103.4;120297;114.6;58524;102.9;42956;98.5
2003;6716290;119.4;5846817.9;108.1;121634;115.9;63357;111.4;41289;94.7
2004;8074930;143.6;6143293.5;113.6;124468;118.6;63593;111.8;41624;95.4
2005;8533120;151.7;6420221.6;118.8;128030;122;55973;98.4;42058;96.4
2006;8866520;157.7;6573603.7;121.6;120483;114.8;52316;92;39156;89.8
2007;9345470;166.2;6689925.5;123.7;114941;109.5;50109;88.1;38197;87.6
2008;10843020;192.8;7207744.2;133.3;114900;109.5;45065;79.3;38716;88.8
2009;12535290;222.9;8021735.5;148.4;105908;100.9;41399;72.8;38867;89.1
2010;14317670;254.6;8830866.1;163.3;104047;99.1;40901;71.9;38853;89.1
2011;15518340;275.9;9262773;171.3;104200;99.3;39385;69.3;39319;90.2
2012;16748410;297.8;9687459.4;179.2;105412;100.4;42954;75.5;39903;91.5
2013;17608450;313.1;9997416.9;184.9;104850;99.9;45662;80.3;41541;95.2
2014;18347620;326.2;10242855.5;189.5;102532;97.7;50886;89.5;42708;97.9
2015;19139500;340.3;10395522.2;192.3;98207;93.6;51600;90.7;43890;100.6
2016;20032860;356.2;10580510.4;195.7;92890;88.5;52631;92.6;43604;100
2017;20686590;367.8;10707440.5;198.1;97076;92.5;51997;91.4;44425;101.9
2018;22060230;392.3;10803917.1;199.8;90981;86.7;51047;89.8;44596;102.3
2019;23251050;413.4;10897340;201.6;88013;83.9;51429;90.4;45249;103.7
2020;28114760;499.9;12121160.1;224.2;96405;91.9;56864;100;46104;105.7
2021;29474080;524.1;12794352.4;236.7;100468;95.7;55909;98.3;46281;106.1
2022;30887920;549.2;13276380.3;245.6;109561;104.4;51732;91;46415;106.4
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;"2023;Kantone;52167;y;";;;
;;;;;;;"2024;Kantone;51133;y;";;;
;;;;;;;"2025;Kantone;50460;y;";;;
;;;;;;;"2026;Kantone;49557;y;";;;
;;;;;;;"2027;Kantone;48728;y;";;;
;;;;;;;"2000;Gemeinden;43695;n;";;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;"2023;Gemeinden;47306;y;";;;
;;;;;;;"2024;Gemeinden;48096;y;";;;
;;;;;;;"2025;Gemeinden;48859;y;";;;
;;;;;;;"2026;Gemeinden;49499;y;";;;
;;;;;;;"2027;Gemeinden;50138;y;";;;
