"Date";"D0";"D1";"Value"
"2000";"B";"AA";"52529.47245116"
"2000";"B";"AE";"55730.42580816"
"2000";"B";"AB";"55971.18770093"
"2000";"B";"AC";"-240.76189277"
"2000";"B";"AD";"-3200.953357"
"2000";"B";"BCA";"47349.65538577"
"2000";"B";"B";"104488.32591363"
"2000";"B";"BP";"22.15895097"
"2000";"B";"BBB";"120842.36825227"
"2000";"B";"BB";"25.62717021"
"2000";"K";"AA";"57427.86235565"
"2000";"K";"AE";"57314.25248223"
"2000";"K";"AB";"56103.7036383"
"2000";"K";"AC";"1210.54884393"
"2000";"K";"AD";"113.60987342"
"2000";"K";"BCA";"29183.23197997"
"2000";"K";"B";"57654.66022999"
"2000";"K";"BP";"12.22688543"
"2000";"K";"BBB";"68472.49135716"
"2000";"K";"BB";"14.52103444"
"2000";"G";"AA";"35066.85234705"
"2000";"G";"AE";"33957.15675225"
"2000";"G";"AB";"33343.38396075"
"2000";"G";"AC";"613.7727915"
"2000";"G";"AD";"1109.6955948"
"2000";"G";"BCA";"20599.52750655"
"2000";"G";"B";"43694.65807258"
"2000";"G";"BP";"9.26637285"
"2000";"G";"BBB";"56322.30596518"
"2000";"G";"BB";"11.94433163"
"2000";"S";"AA";"44586.20753654"
"2000";"S";"AE";"41278.9733816"
"2000";"S";"AB";"41286.76112707"
"2000";"S";"AC";"-7.78774547"
"2000";"S";"AD";"3307.23415494"
"2000";"S";"BCA";"30841.64178741"
"2000";"S";"B";"5700"
"2000";"S";"BP";"1.20880509"
"2000";"S";"BBB";"6410.780256"
"2000";"S";"BB";"1.35954102"
"2000";"SD";"AA";"153334.39200266"
"2000";"SD";"AE";"152004.80573651"
"2000";"SD";"AB";"150429.03373932"
"2000";"SD";"AC";"1575.77199719"
"2000";"SD";"AD";"1329.58626615"
"2000";"SD";"BCA";"127974.0566597"
"2000";"SD";"B";"205837.6442162"
"2000";"SD";"BP";"43.65220925"
"2000";"SD";"BBB";"246347.94583061"
"2000";"SD";"BB";"52.24327221"
"2001";"B";"AA";"48889.56593459"
"2001";"B";"AE";"51909.5318696"
"2001";"B";"AB";"52111.54943321"
"2001";"B";"AC";"-202.01756361"
"2001";"B";"AD";"-3019.96593501"
"2001";"B";"BCA";"43434.87325827"
"2001";"B";"B";"104953.63840748"
"2001";"B";"BP";"21.70091539"
"2001";"B";"BBB";"118753.6620102"
"2001";"B";"BB";"24.55430045"
"2001";"K";"AA";"59704.81504708"
"2001";"K";"AE";"60365.9670049"
"2001";"K";"AB";"58889.64827267"
"2001";"K";"AC";"1476.31873223"
"2001";"K";"AD";"-661.15195782"
"2001";"K";"BCA";"30527.78651154"
"2001";"K";"B";"56862.71324121"
"2001";"K";"BP";"11.75731444"
"2001";"K";"BBB";"70147.13525168"
"2001";"K";"BB";"14.50409028"
"2001";"G";"AA";"36019.21779154"
"2001";"G";"AE";"34954.39526369"
"2001";"G";"AB";"34330.4518888"
"2001";"G";"AC";"623.94337489"
"2001";"G";"AD";"1064.82252785"
"2001";"G";"BCA";"21445.81292838"
"2001";"G";"B";"43613.53634955"
"2001";"G";"BP";"9.01782612"
"2001";"G";"BBB";"57602.29617548"
"2001";"G";"BB";"11.91023555"
"2001";"S";"AA";"46670.32507171"
"2001";"S";"AE";"43050.12290772"
"2001";"S";"AB";"43056.52354141"
"2001";"S";"AC";"-6.40063369"
"2001";"S";"AD";"3620.20216399"
"2001";"S";"BCA";"32543.84789939"
"2001";"S";"B";"2320.01"
"2001";"S";"BP";"0.47970077"
"2001";"S";"BBB";"3018.070784"
"2001";"S";"BB";"0.62403648"
"2001";"SD";"AA";"153881.00222863"
"2001";"SD";"AE";"152877.09542958"
"2001";"SD";"AB";"150985.25151976"
"2001";"SD";"AC";"1891.84390982"
"2001";"SD";"AD";"1003.90679905"
"2001";"SD";"BCA";"127952.32059758"
"2001";"SD";"B";"205429.89799824"
"2001";"SD";"BP";"42.47605802"
"2001";"SD";"BBB";"247201.16422136"
"2001";"SD";"BB";"51.11296406"
"2002";"B";"AA";"48529.74052421"
"2002";"B";"AE";"59216.2176565"
"2002";"B";"AB";"59304.93065609"
"2002";"B";"AC";"-88.71299959"
"2002";"B";"AD";"-10686.47713229"
"2002";"B";"BCA";"43214.49702044"
"2002";"B";"B";"120297.42009449"
"2002";"B";"BP";"24.95397435"
"2002";"B";"BBB";"143045.82583397"
"2002";"B";"BB";"29.67280484"
"2002";"K";"AA";"61513.81005141"
"2002";"K";"AE";"62446.25850106"
"2002";"K";"AB";"60875.24423856"
"2002";"K";"AC";"1571.0142625"
"2002";"K";"AD";"-932.44844965"
"2002";"K";"BCA";"32316.32422769"
"2002";"K";"B";"58523.91164806"
"2002";"K";"BP";"12.13994605"
"2002";"K";"BBB";"77377.43260441"
"2002";"K";"BB";"16.05083856"
"2002";"G";"AA";"36145.77708351"
"2002";"G";"AE";"35192.87711365"
"2002";"G";"AB";"34498.01453176"
"2002";"G";"AC";"694.86258189"
"2002";"G";"AD";"952.89996986"
"2002";"G";"BCA";"21628.99616792"
"2002";"G";"B";"42956.33590353"
"2002";"G";"BP";"8.91067575"
"2002";"G";"BBB";"57665.18105554"
"2002";"G";"BB";"11.96181471"
"2002";"S";"AA";"47457.58392988"
"2002";"S";"AE";"45213.29720588"
"2002";"S";"AB";"45216.69742877"
"2002";"S";"AC";"-3.40022289"
"2002";"S";"AD";"2244.286724"
"2002";"S";"BCA";"33241.86590482"
"2002";"S";"B";"10.007192"
"2002";"S";"BP";"0.00207585"
"2002";"S";"BBB";"329.832801"
"2002";"S";"BB";"0.06841908"
"2002";"SD";"AA";"156029.83244566"
"2002";"SD";"AE";"164451.57133374"
"2002";"SD";"AB";"162277.80771183"
"2002";"SD";"AC";"2173.76362191"
"2002";"SD";"AD";"-8421.73888808"
"2002";"SD";"BCA";"130401.68332087"
"2002";"SD";"B";"221777.67483808"
"2002";"SD";"BP";"46.00459765"
"2002";"SD";"BBB";"278408.27229492"
"2002";"SD";"BB";"57.75180283"
"2003";"B";"AA";"49356.60505436"
"2003";"B";"AE";"52118.08770581"
"2003";"B";"AB";"52294.64999412"
"2003";"B";"AC";"-176.56228831"
"2003";"B";"AD";"-2761.48265145"
"2003";"B";"BCA";"43802.17038721"
"2003";"B";"B";"121633.87195448"
"2003";"B";"BP";"24.94508733"
"2003";"B";"BBB";"139973.75867533"
"2003";"B";"BB";"28.70629355"
"2003";"K";"AA";"61954.32395531"
"2003";"K";"AE";"64437.74412911"
"2003";"K";"AB";"62900.39156283"
"2003";"K";"AC";"1537.35256628"
"2003";"K";"AD";"-2483.4201738"
"2003";"K";"BCA";"31220.76331731"
"2003";"K";"B";"63356.71607525"
"2003";"K";"BP";"12.99341039"
"2003";"K";"BBB";"80151.77446824"
"2003";"K";"BB";"16.43779797"
"2003";"G";"AA";"35881.08817298"
"2003";"G";"AE";"36200.99053557"
"2003";"G";"AB";"35312.21868095"
"2003";"G";"AC";"888.77185462"
"2003";"G";"AD";"-319.90236259"
"2003";"G";"BCA";"21069.31149054"
"2003";"G";"B";"41289.28439108"
"2003";"G";"BP";"8.46774659"
"2003";"G";"BBB";"56830.98970023"
"2003";"G";"BB";"11.65509227"
"2003";"S";"AA";"47260.45991627"
"2003";"S";"AE";"48322.74019125"
"2003";"S";"AB";"48323.58486544"
"2003";"S";"AC";"-0.84467419"
"2003";"S";"AD";"-1062.28027498"
"2003";"S";"BCA";"32432.29876527"
"2003";"S";"B";"0.001598"
"2003";"S";"BP";"0.00000033"
"2003";"S";"BBB";"412.700087"
"2003";"S";"BB";"0.08463793"
"2003";"SD";"AA";"155432.74564665"
"2003";"SD";"AE";"162059.83110949"
"2003";"SD";"AB";"159811.11365109"
"2003";"SD";"AC";"2248.7174584"
"2003";"SD";"AD";"-6627.08546284"
"2003";"SD";"BCA";"128524.54396033"
"2003";"SD";"B";"226279.87401881"
"2003";"SD";"BP";"46.40624464"
"2003";"SD";"BBB";"277369.2229308"
"2003";"SD";"BB";"56.88382173"
"2004";"B";"AA";"51128.20877434"
"2004";"B";"AE";"53322.42070786"
"2004";"B";"AB";"53314.85767624"
"2004";"B";"AC";"7.56303162"
"2004";"B";"AD";"-2194.21193352"
"2004";"B";"BCA";"45336.73821776"
"2004";"B";"B";"124468.33355034"
"2004";"B";"BP";"24.78137338"
"2004";"B";"BBB";"146753.80719329"
"2004";"B";"BB";"29.21836252"
"2004";"K";"AA";"63489.68577386"
"2004";"K";"AE";"66040.41048785"
"2004";"K";"AB";"64660.342364"
"2004";"K";"AC";"1380.06812385"
"2004";"K";"AD";"-2550.72471399"
"2004";"K";"BCA";"32684.63444919"
"2004";"K";"B";"63592.67224454"
"2004";"K";"BP";"12.66116216"
"2004";"K";"BBB";"84511.97595613"
"2004";"K";"BB";"16.82614985"
"2004";"G";"AA";"36285.86167128"
"2004";"G";"AE";"36048.87426929"
"2004";"G";"AB";"35455.01623066"
"2004";"G";"AC";"593.85803863"
"2004";"G";"AD";"236.98740199"
"2004";"G";"BCA";"21248.21665313"
"2004";"G";"B";"41623.63926402"
"2004";"G";"BP";"8.28717568"
"2004";"G";"BBB";"58073.72995434"
"2004";"G";"BB";"11.56235281"
"2004";"S";"AA";"47016.2675394"
"2004";"S";"AE";"49496.00945042"
"2004";"S";"AB";"49497.74990347"
"2004";"S";"AC";"-1.74045305"
"2004";"S";"AD";"-2479.74191102"
"2004";"S";"BCA";"31638.1964551"
"2004";"S";"B";"2000.003614"
"2004";"S";"BP";"0.39819635"
"2004";"S";"BBB";"2659.228348"
"2004";"S";"BB";"0.52944656"
"2004";"SD";"AA";"158836.88169743"
"2004";"SD";"AE";"165824.57285399"
"2004";"SD";"AB";"163844.82411294"
"2004";"SD";"AC";"1979.74874105"
"2004";"SD";"AD";"-6987.69115656"
"2004";"SD";"BCA";"130907.78577518"
"2004";"SD";"B";"229684.6486729"
"2004";"SD";"BP";"45.72971194"
"2004";"SD";"BBB";"289998.74145176"
"2004";"SD";"BB";"57.7381161"
"2005";"B";"AA";"54130.70286363"
"2005";"B";"AE";"53922.01012989"
"2005";"B";"AB";"54000.65622285"
"2005";"B";"AC";"-78.64609296"
"2005";"B";"AD";"208.69273374"
"2005";"B";"BCA";"47564.42019507"
"2005";"B";"B";"128029.89374086"
"2005";"B";"BP";"24.58103251"
"2005";"B";"BBB";"152366.17774601"
"2005";"B";"BB";"29.25346464"
"2005";"K";"AA";"66147.22322664"
"2005";"K";"AE";"67151.11735782"
"2005";"K";"AB";"66098.1477876"
"2005";"K";"AC";"1052.96957022"
"2005";"K";"AD";"-1003.89413118"
"2005";"K";"BCA";"34320.28409013"
"2005";"K";"B";"55972.80616704"
"2005";"K";"BP";"10.74646966"
"2005";"K";"BBB";"74316.27696318"
"2005";"K";"BB";"14.26831474"
"2005";"G";"AA";"36835.803757"
"2005";"G";"AE";"36766.77965838"
"2005";"G";"AB";"36351.42360235"
"2005";"G";"AC";"415.35605603"
"2005";"G";"AD";"69.02409862"
"2005";"G";"BCA";"21456.77624778"
"2005";"G";"B";"42057.88276387"
"2005";"G";"BP";"8.07488121"
"2005";"G";"BBB";"58603.71934299"
"2005";"G";"BB";"11.25159046"
"2005";"S";"AA";"48139.47547509"
"2005";"S";"AE";"50777.08435112"
"2005";"S";"AB";"50777.91026312"
"2005";"S";"AC";"-0.825912"
"2005";"S";"AD";"-2637.60887603"
"2005";"S";"BCA";"32209.77527221"
"2005";"S";"B";"3800.000551"
"2005";"S";"BP";"0.72957912"
"2005";"S";"BBB";"4359.246771"
"2005";"S";"BB";"0.8369513"
"2005";"SD";"AA";"165279.48446483"
"2005";"SD";"AE";"168643.27063967"
"2005";"SD";"AB";"167254.41701838"
"2005";"SD";"AC";"1388.85362129"
"2005";"SD";"AD";"-3363.78617484"
"2005";"SD";"BCA";"135551.25580519"
"2005";"SD";"B";"226060.58322277"
"2005";"SD";"BP";"43.40238349"
"2005";"SD";"BBB";"285845.42082318"
"2005";"SD";"BB";"54.88074213"
"2006";"B";"AA";"58013.03848596"
"2006";"B";"AE";"54824.64700903"
"2006";"B";"AB";"55064.65033781"
"2006";"B";"AC";"-240.00332878"
"2006";"B";"AD";"3188.39147693"
"2006";"B";"BCA";"50938.31289591"
"2006";"B";"B";"120482.69466721"
"2006";"B";"BP";"21.75871506"
"2006";"B";"BBB";"142072.40570723"
"2006";"B";"BB";"25.65773452"
"2006";"K";"AA";"69092.13083278"
"2006";"K";"AE";"67382.97977545"
"2006";"K";"AB";"66538.76998921"
"2006";"K";"AC";"844.20978624"
"2006";"K";"AD";"1709.15105733"
"2006";"K";"BCA";"36043.86198995"
"2006";"K";"B";"52316.36317188"
"2006";"K";"BP";"9.44813562"
"2006";"K";"BBB";"70634.57403672"
"2006";"K";"BB";"12.75633463"
"2006";"G";"AA";"38467.68541698"
"2006";"G";"AE";"37454.56303101"
"2006";"G";"AB";"37067.43391104"
"2006";"G";"AC";"387.12911997"
"2006";"G";"AD";"1013.12238597"
"2006";"G";"BCA";"22513.97842671"
"2006";"G";"B";"39155.83604786"
"2006";"G";"BP";"7.07139463"
"2006";"G";"BBB";"55434.94420327"
"2006";"G";"BB";"10.01133946"
"2006";"S";"AA";"49386.91862967"
"2006";"S";"AE";"50610.25917769"
"2006";"S";"AB";"50610.01964968"
"2006";"S";"AC";"0.23952801"
"2006";"S";"AD";"-1223.34054802"
"2006";"S";"BCA";"33265.16550362"
"2006";"S";"B";"4800.059103"
"2006";"S";"BP";"0.86687236"
"2006";"S";"BBB";"5178.487729"
"2006";"S";"BB";"0.93521513"
"2006";"SD";"AA";"173774.58026422"
"2006";"SD";"AE";"169087.25589204"
"2006";"SD";"AB";"168095.6807866"
"2006";"SD";"AC";"991.57510544"
"2006";"SD";"AD";"4687.32437218"
"2006";"SD";"BCA";"142761.31881619"
"2006";"SD";"B";"211954.95298995"
"2006";"SD";"BP";"38.27825599"
"2006";"SD";"BBB";"268520.41167622"
"2006";"SD";"BB";"48.49376205"
"2007";"B";"AA";"60480.8699967"
"2007";"B";"AE";"64027.67078277"
"2007";"B";"AB";"64500.85815458"
"2007";"B";"AC";"-473.18737181"
"2007";"B";"AD";"-3546.80078607"
"2007";"B";"BCA";"53441.00630254"
"2007";"B";"B";"114941.4862702"
"2007";"B";"BP";"19.51186263"
"2007";"B";"BBB";"138195.52847845"
"2007";"B";"BB";"23.45934662"
"2007";"K";"AA";"73726.8266435"
"2007";"K";"AE";"70266.55578543"
"2007";"K";"AB";"69274.52939016"
"2007";"K";"AC";"992.02639527"
"2007";"K";"AD";"3460.27085807"
"2007";"K";"BCA";"38697.36733243"
"2007";"K";"B";"50108.75574425"
"2007";"K";"BP";"8.50619902"
"2007";"K";"BBB";"69815.92083198"
"2007";"K";"BB";"11.8515838"
"2007";"G";"AA";"39911.17192472"
"2007";"G";"AE";"37793.71594299"
"2007";"G";"AB";"37530.49670282"
"2007";"G";"AC";"263.21924017"
"2007";"G";"AD";"2117.45598173"
"2007";"G";"BCA";"23928.05254087"
"2007";"G";"B";"38197.00742272"
"2007";"G";"BP";"6.48412323"
"2007";"G";"BBB";"54860.13312947"
"2007";"G";"BB";"9.31276788"
"2007";"S";"AA";"58979.35999549"
"2007";"S";"AE";"51726.95990929"
"2007";"S";"AB";"51725.10987565"
"2007";"S";"AC";"1.85003364"
"2007";"S";"AD";"7252.4000862"
"2007";"S";"BCA";"34868.62667945"
"2007";"S";"B";"4800.051565"
"2007";"S";"BP";"0.81483153"
"2007";"S";"BBB";"7126.140673"
"2007";"S";"BB";"1.20969619"
"2007";"SD";"AA";"182822.49118859"
"2007";"SD";"AE";"173539.16504862"
"2007";"SD";"AB";"172755.25675135"
"2007";"SD";"AC";"783.90829727"
"2007";"SD";"AD";"9283.32613997"
"2007";"SD";"BCA";"150935.05285529"
"2007";"SD";"B";"201843.20559752"
"2007";"SD";"BP";"34.26384178"
"2007";"SD";"BBB";"263793.62770825"
"2007";"SD";"BB";"44.78021985"
"2008";"B";"AA";"67734.16221397"
"2008";"B";"AE";"62015.43479414"
"2008";"B";"AB";"60603.04239989"
"2008";"B";"AC";"1412.39239425"
"2008";"B";"AD";"5718.72741983"
"2008";"B";"BCA";"58953.41245429"
"2008";"B";"B";"114899.85469662"
"2008";"B";"BP";"18.70091327"
"2008";"B";"BBB";"141794.54655781"
